Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,dom,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc,Class
173,154132562945.27612,211266207343.07584,0.7295656266265991,0.0331761215,1.7465600000000023,4,179.04299365,60.522524294,179.0716788724447,60.4899097661991,5.178292342297926,0.411806215385212,133.21326921203254,-5.044853423896711e-13,135.88160481824826,0.980362790020148,226.53712765345085,-23.63207508979003,7059636865761.414,33.4158356631889,1.4787758247143237,M,True,0.3333333333333333,0.5,0.3333333333333333,0.25,0.3333333333333333,0.25,True,BCentered,VMisfit,14.25185222416202,1174.389252334972,Embedded
175,40355134582.56312,72085311810.50452,0.559824651777152,0.0405418535,0.6793559999999985,4,179.274744468,1.125520071,179.24522971993903,1.1221668693530262,2.32728234807419,0.7656735713888382,58.202487012391174,-5.009326287108706e-13,65.28324227714526,0.8915379350386146,125.08608079551124,-22.464616953424816,986929522386.5958,13.691132043390525,1.6995380406291642,G,True,1.0,0.75,0.0,0.25,0.0,0.0,False,BMisfit,VMisfit,12.75987368447744,372.7887573684555,Isolated
188,54053671751.97731,73869400151.22598,0.7317464557897889,0.02574089425,2.0068639999999967,4,183.326072262,21.634290799,183.3301235321996,21.66366246484952,2.582246154386258,0.688053397345873,-101.64311302799592,7.105427357601002e-15,229.806244541614,0.4422991778606351,87.17093413119962,-22.49116143098044,7987462559994.214,108.12951700761371,0.3364600414954025,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BMisfit,VCentered,13.09553957485666,484.6182795232464,Embedded
197,42053330854.3355,67655954157.43732,0.6215761994351039,0.03446559675,1.0150500000000022,4,185.006272145,56.162916283,185.04209636777568,56.14181593645914,3.5951499160744107,0.4846670704823075,-7.846086022848799,7.105427357601002e-15,96.70629629831222,0.0811331456500598,163.5458697145661,-22.39576505828126,1656833494457.7407,24.489100997707347,1.5000593755481453,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,False,BCentered,VCentered,12.758988367611904,373.2606482302796,Embedded
204,64715870903.883835,94219098293.45493,0.6868657424667736,0.03686628275,1.817740999999998,4,187.131419886,53.596008054,187.1328060072629,53.624997428825814,3.31769081877177,0.5244799084763152,6.5827676653713025,0.0,230.8925162180898,0.0285100954036706,161.71953130986898,-22.755347358966674,8957153805430.758,95.0672843156787,0.6212640696260697,X,False,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.25,True,BCentered,VCentered,13.439445872547372,628.7794070350005,Predom
206,42119344143.52319,98038136058.1271,0.4296220413508321,0.04453014825,0.237248000000001,4,187.741751381,51.344149479,187.73359600597473,51.34601436757445,1.0151875661816787,0.3206131013896466,35.150261047666596,1.4210854715202004e-14,340.09815527961393,0.1033532834624391,60.10455940456136,-22.798487614177425,11671212497844.39,119.04767845570314,0.1567569343268401,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,False,BCentered,VCentered,13.0725552551545,473.2961792283252,Embedded
207,87137280148.43542,137533797072.98215,0.6335699442821034,0.0405472805,0.981707,4,188.703831023,50.805173203,188.73659289275992,50.84138779833073,2.8403932975496997,0.8811012761581076,-84.2459200056438,-3.552713678800501e-15,87.17908109078253,0.9663547602424906,152.6856517933967,-23.166023583210382,2006396293706.2488,14.588387264852122,1.553493928201798,X,False,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.25,True,BMisfit,VMisfit,13.69850976457416,766.1975222722971,Predom
214,42459023327.9027,95922460386.17969,0.4426390144390011,0.040184649,0.0743420000000014,4,190.662310252,48.535993613,190.68732035182603,48.57561539906725,3.859670713819198,0.667531707724943,-47.02879857069536,-4.973799150320701e-13,104.38035055154089,0.4505522190929317,205.5674613058719,-22.774800774435622,4185543489966.7,43.634655252960385,1.74686458911894,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,False,BMisfit,VCentered,12.899004167941657,414.8483978451642,Isolated
221,84957710456.44788,143580013678.699,0.5917098646233928,0.02601691425,1.247644000000001,4,194.351489483,27.49781561,194.3742351749679,27.49221177377893,2.6447038478155767,0.4750702957619727,-187.52446895445388,-7.531752999057062e-13,438.3497368768582,0.4277964674748574,90.25514385535364,-23.21273497592952,14298920245641.844,99.58851430143844,0.1826311409927644,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,False,BCentered,VCentered,14.508632080327,1433.4835063055484,Split
224,56740557681.87108,88484113079.6191,0.6412513580919913,0.01981892025,1.0172019999999975,4,195.358850418,27.885972956,195.33415752341284,27.8665126124371,5.401918677009407,0.324805403944171,-200.87169821890205,-1.4210854715202004e-14,253.49947610331415,0.792394924465392,139.78696829756925,-22.68716325524132,14938755828632.137,168.8298080717615,0.4891175429073122,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,True,BCentered,VMisfit,12.652615810397156,345.5967967383305,Split
225,69257753449.28453,100811304130.75816,0.6870038439285854,0.02596583675,1.5318020000000026,4,195.473879352,27.624446026,195.4906436680841,27.63242210895034,2.900049833033331,0.3487984004489639,330.3043439125935,-4.831690603168681e-13,685.898163583056,0.481564700781703,98.77123905718902,-22.828773082415523,83651188966102.9,829.7798514500163,0.1277304615980618,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BCentered,VCentered,14.508632706256696,1433.5073630817835,Split
229,45052199646.591515,79246010723.47154,0.5685106320846974,0.037650195,1.0463449999999987,4,197.642349727,34.636230475,197.688653344386,34.65048224711575,4.154423702298249,0.5874162422476397,-10.842682062311324,1.0089706847793425e-12,167.90318381132158,0.0645769890492167,206.9297641487251,-22.567443522196392,7277937448550.904,91.83979587246633,1.0931698651180832,Q,True,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,False,BMisfit,VCentered,13.55767201821172,688.3322202749212,Predom
231,68134582642.82187,95428452339.42604,0.7139860384665616,0.03200509975,1.861571999999999,4,198.136728044,11.72896209,198.1111936927118,11.718020251291078,2.8724095610118243,0.5700687194716964,19.071659050423477,3.552713678800501e-15,246.898260881355,0.0772450116997308,121.12119555501064,-22.769194701218577,12284849048769.64,128.7336087676881,0.4351367242271554,Q,True,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,True,BMisfit,VCentered,13.227575700323502,535.2399691508488,Embedded
239,40250047757.182594,77687930788.0159,0.5180991094615632,0.0349343375,0.8875910000000005,4,202.96132845,44.152209581,202.97570678152348,44.12115100207128,4.090451879563154,0.4800634514844804,33.75486191131849,-5.009326287108706e-13,163.05321918207693,0.2070174516065573,188.6727856323459,-22.545883885506196,7476129255630.096,96.23282767087623,1.0263689468713446,Q,True,1.0,0.75,0.0,0.0,0.0,0.25,False,BCentered,VCentered,12.82115011066182,391.4423556853313,Isolated
248,51887219665.32016,77572780617.33446,0.6688843593383503,0.0301421787499999,1.3613940000000009,4,204.60443034,26.74247202,204.61497242021144,26.7530413871613,2.861740439698671,0.2967564598822323,-247.49915651908623,5.186961971048731e-13,260.2473987478186,0.9510149100814456,113.49203640009628,-22.544273397816372,12912070139143.902,166.4510416719362,0.3868143803597929,Q,True,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,True,BCentered,VMisfit,12.979081311934708,442.5622547574933,Split
259,86470426288.70944,113383631149.41536,0.7626358885504374,0.035524021,2.4409259999999975,4,206.412250683,56.616505963,206.4007953983748,56.6304585369176,4.345615869280658,0.2113824549469466,-49.518022335898046,-1.0089706847793425e-12,120.98538425149616,0.4092892926054799,203.91342622409647,-22.956375903266014,3726709821431.233,32.86814669500421,1.4949839617386411,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,True,BCentered,VCentered,13.657213004141097,743.4874998535638,Predom
265,39700465588.89984,81651920307.83456,0.4862159449431901,0.0285267674999999,0.4137959999999978,4,208.61171533,21.829993055,208.67431507168897,21.81339543640224,3.8985190911732985,0.9301667236194476,2.6960215600531483,7.567280135845067e-13,38.97813511821061,0.0691675358986789,146.14913642250517,-22.599916007565035,484426125585.09625,5.932819751927074,3.325820581554628,G,True,0.6666666666666666,0.5,0.0,0.25,0.3333333333333333,0.25,False,BMisfit,VCentered,12.7837542901207,381.1431271101321,Embedded
271,61335230258.871574,95971647051.80464,0.6390974016082412,0.036507075,1.4842629999999986,4,210.010861747,59.265244191,209.88603116627343,59.26481546921829,4.350719999169458,0.8798309262227344,-66.0684269917859,0.0,189.38378528984265,0.3488599981813195,209.95284960811784,-22.77535737042018,10819435523052.14,112.73574910318987,0.9833374980724322,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BMisfit,VCentered,13.129881013409385,495.8609502919627,Embedded
276,62975148460.92581,110933645204.1843,0.5676830356111876,0.0315560815,1.237648,4,211.489018571,65.690728006,211.46918817740024,65.72559044433018,2.966901928518869,0.724072597166149,154.9723589797687,4.991562718714704e-13,96.72059935101916,1.6022683897702212,123.30986300411752,-22.932658209612327,1271564716809.829,11.46239010238408,1.130843369649774,Q,False,0.0,0.0,0.3333333333333333,0.25,0.3333333333333333,0.5,False,BMisfit,VMisfit,13.276878910455771,555.9618605253653,Embedded
279,47104543574.65128,76788681701.32579,0.6134308146852585,0.042577005,1.6608529999999997,4,212.332459511,55.282339818,212.3381365570126,55.25900145879227,3.3129570501819146,0.4267134922423256,-121.23545442298324,1.7763568394002505e-15,108.66354375817144,1.115695754344165,187.27781459806528,-22.53324302934635,1991637931453.1116,25.93660793917139,1.5287134562643243,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,False,BCentered,VMisfit,12.877265901466036,407.670780163893,Split
289,44614044897.876816,151297808936.68512,0.2948756839998049,0.038238532,0.0685119999999983,4,216.308485082,27.865166004,216.25898998179613,27.830865632996503,4.615858600992221,0.7227679822601444,34.32556887342451,5.115907697472721e-13,219.08157233376693,0.1566793980332111,233.60621480121213,-23.269581596766535,24390932944238.504,161.21140891369805,0.9458062141940278,Q,False,0.3333333333333333,0.25,0.0,0.0,0.3333333333333333,0.5,False,BMisfit,VCentered,12.935547182991373,426.9149359043069,Split
291,58076602223.49187,114967024115.12463,0.5051587850559274,0.0273570297499999,0.3780770000000011,4,216.894621769,11.330623669,216.85904256078092,11.327790248626066,4.775432462855999,0.4397609279158849,16.981338474662746,4.831690603168681e-13,412.7070554394159,0.0411462276955308,171.53427763064278,-22.971433224829344,53844367889070.61,468.34619147097715,0.3686656243285751,Q,True,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,False,BCentered,VCentered,13.240465831627397,541.3602091270069,Split
293,98255846146.39772,127415499344.07634,0.7711451640672452,0.04274948525,2.0356770000000033,4,217.452067863,53.96501454,217.48911751525984,53.98143137816024,2.1058336004256875,0.7773594695128785,211.55417604822512,9.947598300641405e-13,306.4772734670471,0.6902768797666519,119.53757373636854,-23.083055651438254,21694309988984.125,170.26429359586945,0.3459631009656557,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,True,BMisfit,VMisfit,13.765457241451466,806.0264123182459,Predom
303,42968678779.03228,90334591400.76791,0.475661406253585,0.04064525075,0.6148600000000002,4,219.972957917,21.553257642,219.97096016748023,21.56277464109111,2.6566641183822757,0.2189965473593342,-52.585202626424234,1.7763568394002505e-15,70.17724844656149,0.7493198121962101,143.16448108938886,-22.70963521127081,1166006255243.7302,12.907638559749085,1.8095165817591976,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,False,BCentered,VMisfit,12.901957244917298,415.7282907114962,Isolated
304,43532499128.67558,101385417651.9626,0.4293763357380901,0.0301551249999999,0.0102280000000014,4,220.370925878,9.430923551,220.44798597218977,9.383804108528013,6.326609501991407,0.8482445880354872,-398.6648006935592,7.673861546209082e-13,499.68307598081566,0.7978353077318671,251.01334066441987,-22.834938736391056,101217955704326.98,998.3482639662196,0.4455800964087256,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,False,BMisfit,VMisfit,12.815306151044672,390.2841050845677,Split
309,63298759646.17747,126638441666.80344,0.4998384283085377,0.04433175225,0.307348000000001,4,223.045971412,-0.256103918,223.06925083912577,-0.2611886806021193,2.593217417041477,0.5513160580272786,-123.3498797111704,-4.973799150320701e-13,164.51237404092095,0.7497908922066113,152.82653697464008,-23.076413894329523,8022290260098.862,63.34798623948796,0.8239935694003608,Q,True,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.5,False,BCentered,VMisfit,13.20667737449903,524.6481300787893,Embedded
315,45707219213.116295,80853150030.71194,0.5653115456324767,0.044082939,0.9224089999999984,4,224.526016096,1.505716638,224.52237974370917,1.5119201506404336,2.717029102458412,0.1587784500737883,-138.92812231471143,-5.044853423896711e-13,314.54953863969433,0.4416732668422327,159.19592335880148,-22.58924236160501,25338348651996.27,313.3872785707364,0.4489174729993943,Q,True,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,False,BCentered,VCentered,12.940377010982612,427.6969425174118,Embedded
316,121430336917.26662,164847847143.90326,0.7366207021876634,0.0341729189999999,1.8569920000000015,4,224.865162541,16.645098413,224.8736060411904,16.642519019944338,5.211427073577516,0.0977584170971173,-47.45060247767396,1.5063505998114124e-12,93.85765665159808,0.5055592071067069,235.0079874704012,-23.3627081994497,3391098874455.896,20.571083779429948,2.220938518207684,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BCentered,VCentered,13.95857098078218,937.375566466446,Embedded
322,39786377593.80836,63373357347.206375,0.627809212881511,0.0370456569999999,0.9182759999999988,4,226.618937883,46.344193946,226.5464023610315,46.34616057699692,2.939906675618027,1.022700944876745,-91.9553364877488,5.009326287108706e-13,106.331320893402,0.8648000957303565,144.02065116671616,-22.32476678867243,1647979728943.1416,26.004298934555152,1.2013987648375395,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,True,BMisfit,VMisfit,12.744141153197369,368.7271808487056,Embedded
323,64551330773.919914,113127230202.84122,0.5706082492975125,0.0451653885,0.6734030000000004,4,226.650594164,9.649493156,226.63031551422569,9.664223387855005,3.2266903906525317,0.4617500483314291,-126.96209390729858,-6.661338147750939e-15,174.85004040603656,0.7261199003012373,193.85123105619232,-22.953917885068847,8147250036944.936,72.01847002120198,0.9833914910602806,Q,True,0.0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.75,False,BCentered,VMisfit,13.415657642069204,615.7601071219307,Embedded
324,40656875514.110374,87702311216.98813,0.4635781537560557,0.03668694325,0.3383280000000006,4,226.68288341,3.776844281,226.68722492915643,3.814839158221576,4.3890277844993895,0.5227723098661204,-303.90010502159555,-1.4210854715202004e-14,554.0242051418475,0.5485321800042792,212.87289013857352,-22.677527596173324,49349310485486.87,562.6911058636707,0.3408122818470925,Q,False,0.3333333333333333,0.25,0.0,0.0,0.0,0.25,False,BCentered,VMisfit,12.840856907773109,397.1856622748004,Split
330,45853786022.328415,68853505729.34576,0.6659615300137908,0.0348531535,1.5450000000000017,4,228.911217188,8.300752801,228.9158045429971,8.309703045059553,2.6258257484749072,0.2293111313324542,-104.05969177655072,5.044853423896711e-13,118.89191411626952,0.875246164131791,120.82803109730752,-22.414815143985955,2701129243484.2983,39.23009024554376,0.9014445126899148,M,True,0.3333333333333333,0.5,0.3333333333333333,0.25,0.3333333333333333,0.25,True,BCentered,VMisfit,13.186123362089484,518.0084229976081,Predom
333,149157947985.6218,272377836440.2279,0.5476141155058842,0.0403692565,0.938084,4,229.853077991,20.896319496,229.8610552357211,20.892541291930943,1.164352791731303,0.4305730931557209,151.18801182848557,4.831690603168681e-13,191.45852988394293,0.7896645394704077,62.307074520764786,-23.907929414642663,2580212911014.3047,9.47291800513483,0.2886597694728951,X,False,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,False,BCentered,VMisfit,14.352095357684004,1265.398807285106,Predom
337,49533429743.31946,96511470175.82455,0.5132387855358485,0.037835817,0.4618599999999979,4,231.266713288,48.457176013,231.32048652633097,48.4435826936604,3.1672943612927367,0.7230527642431988,451.558577055706,-3.552713678800501e-15,302.02408479186386,1.4951078400482265,158.56053700062768,-22.781447328386403,23015999173402.5,238.4794173321778,0.4656688105403225,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,False,BMisfit,VMisfit,13.75568500309813,801.2658300801147,Predom
341,167630715993.58972,246418983319.83453,0.6802670546530777,0.0438521049999999,1.2758829999999968,4,232.373444842,7.573251432,232.36341560325255,7.568805835672277,3.024915401035843,0.2160158286852694,90.09666384369908,1.0018652574217413e-12,190.34792149633648,0.4733262288100798,176.27817852435987,-23.799185403551235,13063985754614.893,53.01533826092756,0.8214365732074284,Q,False,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,True,BCentered,VCentered,14.523137665016364,1441.303071522938,Predom
