cg4_group,zheng_shen_class,objid,cg4_rank_M,lim_group,lim_rank_M,quartet_satellite,host_halo_satellite,host_status_differs_from_quartet_rank
354,Embedded,1237662697036251250,1,1632,1,False,False,False
354,Embedded,1237662697036251461,2,1632,3,True,True,False
354,Embedded,1237662697036251506,3,1632,5,True,True,False
354,Embedded,1237662697036251443,4,1632,7,True,True,False
360,Embedded,1237662306199666786,1,2542,1,False,False,False
360,Embedded,1237662306199666875,2,2542,2,True,True,False
360,Embedded,1237662306199666769,3,2542,4,True,True,False
360,Embedded,1237662306199667123,4,2542,5,True,True,False
368,Predom,1237665534931894451,1,51,4,False,True,True
368,Predom,1237665534931894452,2,51,29,True,True,False
368,Predom,1237665534931894453,3,51,53,True,True,False
368,Predom,1237665534931894732,4,51,54,True,True,False
369,Predom,1237665535468765463,1,721,1,False,False,False
369,Predom,1237665535468765571,2,721,4,True,True,False
369,Predom,1237665535468765464,3,721,5,True,True,False
369,Predom,1237665535468765536,4,721,9,True,True,False
373,Embedded,1237662504832270395,1,3073,1,False,False,False
373,Embedded,1237662504832270396,2,3073,2,True,True,False
373,Embedded,1237662300835807413,3,3073,3,True,True,False
373,Embedded,1237662300835807439,4,3073,4,True,True,False
374,Embedded,1237668272452862078,1,2304,1,False,False,False
374,Embedded,1237668272452862530,2,2304,2,True,True,False
374,Embedded,1237668272452862219,3,2304,3,True,True,False
374,Embedded,1237668272452862569,4,2304,7,True,True,False
386,Embedded,1237662225165516860,1,3916,1,False,False,False
386,Embedded,1237662225165451914,2,3916,2,True,True,False
386,Embedded,1237662225165517232,3,3916,3,True,True,False
386,Embedded,1237662225165517146,4,3916,6,True,True,False
393,Predom,1237659329780121695,1,369,1,False,False,False
393,Predom,1237659324957327415,2,369,4,True,True,False
393,Predom,1237659329780121629,3,369,5,True,True,False
393,Predom,1237659324957262004,4,369,8,True,True,False
394,Embedded,1237655473969299672,1,5219,1,False,False,False
394,Embedded,1237655473969299673,2,5219,2,True,True,False
394,Embedded,1237655473969299957,3,5219,4,True,True,False
394,Embedded,1237655375185117425,4,5219,5,True,True,False
405,Embedded,1237662302453039177,1,3141,1,False,False,False
405,Embedded,1237662302452974056,2,3141,2,True,True,False
405,Embedded,1237662302452974098,3,3141,3,True,True,False
405,Embedded,1237662302453039694,4,3141,4,True,True,False
