sample,group,n_members,objids_rank_order,dropped,drop_reason,z_group_mean,D_A_kpc,R_pair_rank1_rank2_kpc,R_pair_rank1_rank3_kpc,R_pair_rank1_rank4_kpc,R_pair_rank2_rank3_kpc,R_pair_rank2_rank4_kpc,R_pair_rank3_rank4_kpc,R_pair_med_kpc,R_pair_min_kpc,R_pair_max_kpc,compactness_score_neg_log10_Rmed
Control4B,11021,4,1237664853641461771;1237662685216636964;1237664853641461874;1237664853641462227,False,,0.04056203875,170734.13565516888,417.34155631889564,430.2655163280331,268.7267201622152,719.7676011557862,619.9977491406412,175.86745475269996,423.80353632346436,175.86745475269996,719.7676011557862,-2.627164576252452
Control4B,11071,4,1237654610141249556;1237651066815578330;1237654610141249558;1237651066815578363,False,,0.039518793,166550.97420200624,269.6174827980805,53.399039744202724,348.1946118991667,322.2999253623231,253.31144799869242,392.6528903283786,295.9587040802018,53.399039744202724,392.6528903283786,-2.4712311170006065
Control4B,11076,4,1237668349218390048;1237668349218390247;1237668349218390261;1237668332034392412,False,,0.044666480499999994,187089.7119975082,209.03048570538024,96.70843357220038,417.8085149957118,294.08399266037753,220.26569462622396,488.0105639875847,257.17484364330073,96.70843357220038,488.0105639875847,-2.410228484465146
Control4B,11078,4,1237651753485729911;1237651753485861130;1237674602140139550;1237651753485729932,False,,0.033479362750000005,142125.1856248795,609.6196355220175,420.66688726681616,69.88532950893351,732.1334377462472,634.4202004928221,488.1257380430685,548.872686782543,69.88532950893351,732.1334377462472,-2.7394716197873357
Control4B,11108,4,1237665531713814595;1237665531713814551;1237665531713814706;1237665531713814804,False,,0.03959726225,166865.98483601684,74.94307656354526,210.15717028284197,238.57251830180428,220.66533045744666,313.411237384481,332.57120723160494,229.61892437962547,74.94307656354526,332.57120723160494,-2.3610076782161586
Control4B,11129,4,1237661966356381766;1237662193989714026;1237662193989582993;1237662193989582996,False,,0.0384362305,162198.96203817712,323.66009670857454,286.86716294595203,235.920715586958,461.7616814864085,469.35793452207474,84.83645486734173,305.2636298272633,84.83645486734173,469.35793452207474,-2.4846750640227184
Control4B,11153,4,1237664835934814390;1237664835934814435;1237664835934748855;1237664878341062790,False,,0.0341666755,144923.03708131658,135.17838727590063,451.97046975859365,423.92455911359093,515.6057264535972,312.495182274729,822.2347710850512,437.9475144360923,135.17838727590063,822.2347710850512,-2.6414220658543086
Control4B,11198,4,1237663917341016282;1237663788493635946;1237663788493635962;1237663917340950801,False,,0.033684251,142959.71525537947,556.12605379637,507.45477498117117,336.5716737169065,57.60808056777179,545.3486913537733,524.8365930599715,516.1456840205714,57.60808056777179,556.12605379637,-2.7127723001472366
Control4B,11252,4,1237651272961490958;1237651272961490952;1237651272961425646;1237651534946304186,False,,0.03231095175,137358.18584416798,83.00882214514525,61.03959918781542,332.50507907593067,104.33229739431869,415.506815095163,337.3440461054067,218.41868823512468,61.03959918781542,415.506815095163,-2.339289794518799
Control4B,11265,4,1237658297923797032;1237658297923797167;1237654602641244319;1237658297923731566,False,,0.02987645625,127382.08119260399,62.14712927502903,385.9789912309889,475.7718425019754,432.24813803357296,465.0365784968152,430.08102302337613,431.1645805284745,62.14712927502903,475.7718425019754,-2.634643077056138
Control4B,11278,4,1237667429026955403;1237667429026955516;1237667322172211267;1237667429026955404,False,,0.038665186750000004,163120.34246238854,48.26154309222763,601.0549733170668,38.41156585527779,570.1184053156115,81.77287541549374,638.985315486277,325.94564036555266,38.41156585527779,638.985315486277,-2.5131451765777837
Control4B,11305,4,1237667254016278565;1237667254016278686;1237667254016278705;1237667254016278711,False,,0.04195423475,176300.054950482,269.47277586399156,104.69717835779248,102.6167281284839,356.4996688227199,334.66507879544207,34.297935231067385,187.08497711089203,34.297935231067385,356.4996688227199,-2.2720389151334297
Control4B,11370,4,1237659327091900425;1237655368758788270;1237659327091835101;1237659327091900583,False,,0.043273678999999995,181557.82126151765,384.5016825088268,92.68811284513056,120.63606379991018,413.2533162506195,505.0235203634932,140.50283209323723,262.502257301032,92.68811284513056,505.0235203634932,-2.419133042329279
Control4B,11562,4,1237665548900958660;1237665531723514229;1237665531723514265;1237665567691965133,False,,0.032455656,137949.29937009528,222.05958777129126,297.7285263157164,191.4648186170048,156.27238064559236,304.4855821030704,437.4044471142083,259.89405704350384,156.27238064559236,437.4044471142083,-2.414796348670994
Control4C,1,4,1237667444048723983;1237667444048723989;1237667324334571728;1237667324334637085,False,,0.0247361085,106122.73023719348,14.011908600398032,135.15195391022863,31.9271483644582,125.0919695194659,20.588236079363874,104.50375536407535,68.21545186426677,14.011908600398032,135.15195391022863,-1.8338827602766292
