Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
984,4,15,True,5,3.092193999999999,1,1237657878614638621;1237657773924352400;1237657628432007196,1237657878614638621;1237657773924352400;1237657878614638862,True,True,4,0.7599877047376999
985,4,15,True,9,3.1983449999999998,1,1237665548901286143;1237665567692292584;1237665567692226797,1237665567692292584;1237665548901286143;1237665567692292430,True,True,2,0.14205505736269997
988,4,15,True,7,3.6886969999999977,2,1237671124305051901;1237671261206937699;1237671261207003251,1237671124305051901;1237671124304986167;1237671124305051660,True,True,5,0.20198392828723932
993,4,15,True,8,4.284170999999997,2,1237651274035363852;1237663529186623648;1237663546366558454,1237651274035363852;1237651274035364052;1237651274035364002,True,True,4,0.19026566018286317
996,4,15,True,8,3.1481100000000026,2,1237667430096371778;1237667430096371947;1237667292655910960,1237667430096371778;1237667430096371968;1237667430096371963,True,True,3,0.4540192350104135
998,4,15,True,11,3.3745389999999986,2,1237664291548823599;1237664291548823571;1237662530600370324,1237664291548823599;1237664291548823866;1237662530600435716,True,True,2,0.13388025442303286
1001,4,15,True,6,4.769079000000001,2,1237664291011952667;1237662530063564997;1237662530063499615,1237664291011952667;1237664291011952964;1237664291011952678,True,True,3,0.2576414508065197
1004,4,15,True,10,2.8915229999999994,0,1237659330848751703;1237659330848751818;1237659330848751807,1237659330848751703;1237659330848751807;1237659330848751818,False,False,0,0.11115965547638584
1005,4,15,True,13,2.7211700000000008,0,1237665127991279710;1237665127991279712;1237665127991279874,1237665127991279712;1237665127991279874;1237665127991279710,False,False,0,0.10929317060642818
1006,4,15,True,10,3.1707600000000014,1,1237661137419108491;1237661382771474612;1237661382771409253,1237661137419108491;1237661382771474612;1237661137419108471,True,True,1,0.21168655756911647
1007,4,15,True,8,3.7659710000000004,2,1237664092898918570;1237664668424536083;1237664092898918748,1237664092898918570;1237664092898984229;1237664092898984197,True,True,3,0.20717099519181126
1088,4,14,True,4,3.7409849999999985,3,1237658919069548563;1237658803114475756;1237658803114475562,1237658919069548778;1237658919069614102;1237658803114541156,True,True,7,0.5265852905532604
1090,4,14,True,4,4.4763069999999985,3,1237665532785066003;1237665532785066002;1237665532785066181,1237665550499315852;1237665550499315867;1237665532785066353,True,True,6,0.3916109949027149
1093,4,14,True,5,4.7457100000000025,2,1237667254552690986;1237667254552690963;1237667254552625190,1237667254552690986;1237667254552690942;1237667254552690713,True,True,4,0.1316437849467733
1104,4,14,True,7,4.709671,1,1237663547981103123;1237663531337973846;1237663530801168520,1237663531337973846;1237663547981103123;1237663530801168570,True,True,1,0.7456335508094618
1109,4,14,True,5,4.8780719999999995,1,1237667536938139658;1237667549269721194;1237667537475010658,1237667549269721194;1237667536938139658;1237667549269786810,True,True,1,0.763235421047689
1110,4,14,True,8,4.036924000000003,2,1237662619189575826;1237662640121577756;1237662307274653752,1237662619189575826;1237662640121577750;1237662640121643169,True,True,2,0.619502510606063
1118,4,14,True,9,2.2718339999999984,0,1237651272431829138;1237651538169823387;1237651272431829116,1237651272431829116;1237651538169823387;1237651272431829138,False,False,0,0.1834137603433348
1122,4,14,True,8,3.645068000000002,1,1237651736314773622;1237651736314839047;1237651736314773859,1237651736314839047;1237651736314773622;1237651736314773862,True,True,2,0.16184267946269504
1124,4,14,True,8,4.142721999999999,1,1237651823249522870;1237651823249457410;1237654880740638942,1237651823249522870;1237651823249457410;1237651823249457545,True,True,1,0.7311742336894476
1131,4,14,True,8,1.6387539999999987,0,1237671931209318579;1237671931209318493;1237671931209318606,1237671931209318493;1237671931209318579;1237671931209318606,False,False,0,0.22738659054826904
1132,4,14,True,13,2.8679050000000004,0,1237654028714967128;1237654028714967239;1237654028715032625,1237654028715032625;1237654028714967239;1237654028714967128,False,False,0,0.17359127295803356
1133,4,14,True,10,3.053052000000001,1,1237665429171798248;1237665429171863665;1237665429171798182,1237665429171798248;1237665429171863665;1237665429171798222,True,True,1,0.1759286030177365
1134,4,14,True,6,4.277379,1,1237663916268257468;1237663916268257450;1237663786883940513,1237663916268257450;1237663916268257468;1237663916268257523,True,True,6,0.18785860243894792
1142,4,14,True,10,3.184037,1,1237665548363956318;1237665548363956244;1237665548363956543,1237665548363956318;1237665548363956244;1237665548363956242,True,True,1,0.14382921928225745
1143,4,14,True,6,4.095116999999998,2,1237657595152433227;1237657595152433341;1237657595689304281,1237657595152433227;1237657608573944082;1237657608573878566,True,True,2,0.3866608415615467
1145,4,14,True,12,3.2082750000000004,1,1237651274036871310;1237651274036871311;1237651274036871362,1237651274036871311;1237651274036871310;1237651274036871313,True,True,1,0.11903452226115219
1259,4,13,True,4,3.1169360000000026,1,1237658917459918989;1237658802041716895;1237658802041651318,1237658917459918989;1237658802041716895;1237658917459919118,True,True,2,0.522061806555719
1264,4,13,True,7,3.1234800000000007,1,1237661068181766366;1237661951320588310;1237661068181766380,1237661068181766366;1237661951320588310;1237661068181766419,True,True,1,0.23408743097940743
1265,4,13,True,6,3.7272469999999984,2,1237665441523630105;1237665441523499143;1237665428634402842,1237665441523630105;1237665441523630238;1237665441523564692,True,True,5,0.15937680375072638
1266,4,13,True,5,4.1264530000000015,1,1237661068714442879;1237661068714508360;1237661068714508526,1237661068714508360;1237661068714442879;1237661068714442832,True,True,4,0.37264448320325183
1270,4,13,True,7,3.5270319999999984,2,1237661137421271216;1237661382236766371;1237661137421271240,1237661137421271216;1237661382236831823;1237661382236766329,True,True,2,0.1929153538417765
1272,4,13,True,4,4.559200000000001,2,1237667914345611509;1237667914345742360;1237668297129328675,1237667914345611509;1237667914345677057;1237667914345676811,True,True,5,0.1795025683081879
1274,4,13,True,6,3.7759810000000016,2,1237668496310665432;1237668496310665312;1237668496310730776,1237668496310665432;1237668496310665393;1237668496310665266,True,True,3,0.1243177360828236
1275,4,13,True,7,3.630500999999999,1,1237662224066347142;1237664667907588102;1237664667370651768,1237662224066347142;1237664667907588102;1237662224066347095,True,True,2,0.5233312723362147
1278,4,13,True,5,4.198886999999999,2,1237665024372572310;1237665128011464838;1237665128011399283,1237665024372572310;1237665024372637853;1237665024372572559,True,True,3,0.25256265954566626
1282,4,13,True,7,3.105266999999998,1,1237660636533031076;1237661358610186319;1237660635996160210,1237661358610186319;1237660636533031076;1237661358610186451,True,True,1,0.5904562840086172
1283,4,13,True,4,3.0191300000000005,2,1237667209987883063;1237667431717732380;1237667209987948561,1237667209987883063;1237667209987883156;1237667431717732432,True,True,7,0.39388313181556
1286,4,13,True,10,2.6215979999999988,0,1237664289399439485;1237664289399439496;1237664289399374060,1237664289399439496;1237664289399374060;1237664289399439485,False,False,0,0.21130489194612068
1289,4,13,True,8,3.6815239999999996,1,1237662264859557988;1237662264859623727;1237662198284157109,1237662264859557988;1237662264859623727;1237662264859558141,True,True,2,0.519319338886179
1295,4,13,True,4,4.700945000000001,2,1237661356464865319;1237661356464799823;1237661356464799824,1237661356464865319;1237661356464930876;1237661356464865327,True,True,3,0.1113602649295311
1296,4,13,True,6,3.5317810000000023,1,1237661139030900756;1237661139030900758;1237661139030835274,1237661139030900758;1237661139030900756;1237661139030900761,True,True,2,0.07608268405067031
1297,4,13,True,7,3.5548980000000014,1,1237659325492560003;1237659325492560241;1237659329778483267,1237659325492560003;1237659325492560241;1237659325492559893,True,True,1,0.23143990992131336
1298,4,13,True,10,3.1200670000000024,1,1237662698108878900;1237662698108879110;1237662698108813692,1237662698108878900;1237662698108879110;1237662698108944649,True,True,1,0.38846439443734226
1300,4,13,True,4,4.041934000000001,1,1237648705115848766;1237648705115848927;1237648722307842148,1237648705115848766;1237648705115848927;1237648705115914321,True,True,1,0.22798997596408732
1301,4,13,True,12,1.4290780000000005,0,1237661849862340734;1237661849862340742;1237661849862340735,1237661849862340734;1237661849862340735;1237661849862340742,False,False,0,0.07020673800172705
1302,4,13,True,5,4.886686000000001,2,1237659132751642639;1237659132751577202;1237659132751577262,1237659132751642639;1237659132751642830;1237659132751642884,True,True,3,0.4408992268436265
1404,4,12,True,4,4.065669,2,1237665566618616105;1237665566618681710;1237665566618616242,1237665566618616105;1237668336860856781;1237668336860922173,True,True,2,0.28924719814526867
1436,4,12,True,5,3.1770749999999985,1,1237662224596926532;1237662224596926575;1237664668438102203,1237662224596926575;1237662224596926532;1237662224596861027,True,True,2,0.2558258549060275
1437,4,12,True,8,2.122270999999998,0,1237662237478158404;1237662263778672812;1237662263778803812,1237662263778803812;1237662263778672812;1237662237478158404,False,False,0,0.6011343830894038
1443,4,12,True,8,3.1154759999999975,1,1237661386013147356;1237661386013147302;1237661386013147569,1237661386013147302;1237661386013147356;1237661386013148102,True,True,1,0.17474457478012262
1447,4,12,True,6,3.460829999999998,2,1237665548350193740;1237665531172683959;1237667448886526055,1237665548350193740;1237665531172684128;1237665548350128354,True,True,3,0.696183798564503
1451,4,12,True,3,3.887525,2,1237662195056640151;1237661967423373381;1237661967423111358,1237662195056640151;1237662195056640213;1237662195056640217,True,True,8,0.3148406897355285
1455,4,12,True,7,3.482353,3,1237664817673994368;1237664817674190926;1237664817674256458,1237664336641720404;1237664817674125413;1237664817674060121,True,True,4,0.47413360019139716
1459,4,12,True,5,4.309736999999998,1,1237658800968761371;1237658916923834489;1237658916923768882,1237658800968761371;1237658916923834489;1237658800968761372,True,True,3,0.4807477759345886
1460,4,12,True,7,2.6370499999999986,0,1237659161201803332;1237659161201803605;1237659161201803476,1237659161201803476;1237659161201803332;1237659161201803605,False,False,0,0.17816539861512704
1464,4,12,True,6,3.107137999999999,1,1237651272425734160;1237651272425668786;1237651272425668776,1237651272425668786;1237651272425734160;1237651272425668773,True,True,1,0.17102996394152603
1466,4,12,True,7,3.650276999999999,1,1237655742946672966;1237655742946672967;1237655742946673042,1237655742946672967;1237655742946672966;1237655742946672939,True,True,2,0.14550558009332537
1472,4,12,True,4,4.273243000000001,2,1237667911124582565;1237667549810720966;1237667911124516982,1237667911124582565;1237667911124648059;1237667549810851923,True,True,3,0.43347350690106445
1475,4,12,True,10,2.9588539999999988,0,1237655469135692305;1237655469135692013;1237655469135626467,1237655469135692013;1237655469135626467;1237655469135692305,False,False,0,0.5026352276282644
1480,4,12,True,10,1.987283999999999,0,1237665127453753406;1237665127453753512;1237665127453753414,1237665127453753414;1237665127453753512;1237665127453753406,False,False,0,0.09712632829601464
1482,4,12,True,6,3.9111309999999975,3,1237667912203894825;1237667912203829259;1237667912740634801,1237667912740700167;1237667448340414589;1237667912203894964,True,True,3,0.5387146195001193
1483,4,12,True,7,2.1596480000000007,0,1237661852006678622;1237661874014650453;1237661874014584855,1237661874014650453;1237661852006678622;1237661874014584855,False,False,0,0.36961608849291316
1484,4,12,True,7,3.4667589999999997,1,1237658205595107580;1237658205595107573;1237658205595041980,1237658205595107573;1237658205595107580;1237658205595172972,True,True,2,0.24950071388549144
1485,4,12,True,7,3.4964350000000017,1,1237662194000461972;1237662306190295191;1237662306190295221,1237662194000461972;1237662306190295191;1237662194000461961,True,True,1,0.20187968860946448
