Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
1436,4,12,True,5,2.963602999999999,0,1237662224596926532;1237662224596926575;1237664668438102203,1237664668438102203;1237662224596926575;1237662224596926532,False,False,2,0.36453876027436927
1437,4,12,True,8,2.122270999999998,0,1237662237478158404;1237662263778672812;1237662263778803812,1237662263778803812;1237662263778672812;1237662237478158404,False,False,0,0.6011343830894038
1443,4,12,True,8,2.8430940000000007,0,1237661386013147356;1237661386013147302;1237661386013147569,1237661386013147302;1237661386013147356;1237661386013147569,False,False,1,0.231245020352012
1447,4,12,True,6,2.524245999999998,0,1237665548350193740;1237665531172683959;1237667448886526055,1237665548350193740;1237665531172683959;1237667448886526055,False,False,3,0.8112359725181619
1451,4,12,True,3,2.689392999999999,0,1237662195056640151;1237661967423373381;1237661967423111358,1237661967423373381;1237661967423111358;1237662195056640151,False,False,8,1.6775532951840546
1455,4,12,True,7,2.8006840000000004,0,1237664817673994368;1237664817674190926;1237664817674256458,1237664817674190926;1237664817673994368;1237664817674256458,False,False,4,0.9168900468094137
1459,4,12,True,5,2.3906269999999985,0,1237658800968761371;1237658916923834489;1237658916923768882,1237658800968761371;1237658916923768882;1237658916923834489,False,False,3,0.6225936170047692
1460,4,12,True,7,2.6370499999999986,0,1237659161201803332;1237659161201803605;1237659161201803476,1237659161201803476;1237659161201803332;1237659161201803605,False,False,0,0.17816539861512704
1464,4,12,True,6,2.511448999999999,0,1237651272425734160;1237651272425668786;1237651272425668776,1237651272425668786;1237651272425734160;1237651272425668776,False,False,1,0.19158365183385406
1466,4,12,True,7,2.480891999999997,0,1237655742946672966;1237655742946672967;1237655742946673042,1237655742946672967;1237655742946672966;1237655742946673042,False,False,2,0.23460459104882148
1472,4,12,True,4,2.059757000000001,0,1237667911124582565;1237667549810720966;1237667911124516982,1237667911124582565;1237667549810720966;1237667911124516982,False,False,3,0.6500013210727591
1475,4,12,True,10,2.9588539999999988,0,1237655469135692305;1237655469135692013;1237655469135626467,1237655469135692013;1237655469135626467;1237655469135692305,False,False,0,0.5026352276282644
1480,4,12,True,10,1.987283999999999,0,1237665127453753406;1237665127453753512;1237665127453753414,1237665127453753414;1237665127453753512;1237665127453753406,False,False,0,0.09712632829601464
1482,4,12,True,6,2.528896999999997,0,1237667912203894825;1237667912203829259;1237667912740634801,1237667912203829259;1237667912740634801;1237667912203894825,False,False,3,0.640703716631716
1483,4,12,True,7,2.1596480000000007,0,1237661852006678622;1237661874014650453;1237661874014584855,1237661874014650453;1237661852006678622;1237661874014584855,False,False,0,0.36961608849291316
1484,4,12,True,7,2.193016,0,1237658205595107580;1237658205595107573;1237658205595041980,1237658205595107573;1237658205595041980;1237658205595107580,False,False,2,0.31819616245222093
1485,4,12,True,7,2.6104570000000002,0,1237662194000461972;1237662306190295191;1237662306190295221,1237662194000461972;1237662306190295221;1237662306190295191,False,False,1,0.2702600227354077
1486,4,12,True,7,2.809196,0,1237674602676289706;1237674602676289826;1237664814452244710,1237674602676289706;1237674602676289826;1237664814452244710,False,False,2,0.7322551428808435
1488,4,12,True,4,2.9653139999999993,0,1237648721757929562;1237651801774358588;1237648721757929485,1237648721757929562;1237651801774358588;1237648721757929485,False,False,4,0.7099749862873512
