petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r,objid
13.36592,15.96908,13.21885,13.21885,0.07693626,1237651737384976472
14.33454,16.55708,14.26731,14.26731,0.08427491,1237651737382289427
14.14922,16.43846,14.77308,14.77308,0.08436042,1237651737382289426
14.27114,16.81546,14.15292,14.24157,0.05870714,1237651737375015076
17.25168,18.70547,17.25731,17.19778,0.05892804,1237651737375015062
17.27462,19.62141,17.26802,17.22988,0.05769974,1237651737374949690
15.87979,17.05942,15.79186,15.79186,0.0589033,1237651737374949472
14.81667,17.39194,14.62929,14.70397,0.09941687,1237651496830370024
14.50578,16.09421,14.35861,14.35862,0.02193519,1237654399152750749
13.62054,15.8752,13.50611,13.50609,0.02656359,1237654399152750671
15.95784,18.25655,15.93389,15.93389,0.02789775,1237654398616076434
16.12593,17.73337,16.09903,16.09918,0.02587417,1237654398616076319
13.91667,16.31047,13.87787,13.87794,0.02731504,1237654398616076318
16.80094,18.95891,16.79118,16.74981,0.02735548,1237654398616010921
16.55945,18.32759,16.68578,16.56506,0.02131113,1237654398615945288
14.5207,16.48238,14.45912,14.47181,0.02234862,1237654398615879748
13.58018,15.17896,13.37004,13.37004,0.02233297,1237654398613913710
15.74784,18.17269,15.81229,15.6285,0.02181224,1237654398613913661
15.703,17.45584,15.52958,15.56332,0.02171105,1237654398613913659
14.47068,16.16541,14.37582,14.37582,0.02164331,1237654398613913657
16.06348,17.95527,15.8094,15.9617,0.06587301,1237654391644618891
15.10547,17.69568,15.11945,15.04632,0.06342763,1237654391644618779
15.15886,17.31605,14.94629,15.02429,0.1061929,1237654391639507212
15.56251,17.64386,15.78623,15.78623,0.1066982,1237654391639441458
13.74673,16.61053,13.60756,13.61259,0.09967665,1237654391639376175
15.40093,17.04346,15.29943,15.29944,0.1152449,1237654391103619286
14.15573,16.30773,14.01902,14.01902,0.1181638,1237654391103619080
15.45618,17.45686,15.82501,15.82501,0.07730326,1237654383585394820
13.70467,16.62752,13.65957,13.65957,0.07712998,1237654383585394819
15.43365,17.03445,15.41573,15.41572,0.07618538,1237654383585329365
15.10555,17.18724,14.9305,14.96147,0.03561941,1237654381978189925
15.5392,17.49988,15.35815,15.467,0.03563245,1237654381978124528
16.83469,17.89824,16.75529,16.7561,0.03118951,1237654381978124522
15.53087,18.46618,15.51612,15.42277,0.03466728,1237654381978058896
15.42793,17.50161,15.21234,15.25669,0.09888228,1237654031400566969
15.64394,17.67992,15.32155,15.5559,0.1024157,1237654031400566818
15.2519,16.91019,15.04937,15.06058,0.1024196,1237654031400566817
13.26298,15.50565,13.17128,13.17125,0.0906696,1237654030863892549
14.26819,16.78855,14.10758,14.12401,0.07034606,1237654029251969102
16.68156,17.89315,16.52748,16.55447,0.07750331,1237654028715098212
15.89834,17.27315,15.76293,15.76769,0.06780107,1237654028715032625
16.32705,19.24194,16.24991,16.24991,0.06588086,1237654028714967239
17.07927,19.29376,17.17429,16.91701,0.06428815,1237654028714967128
14.23308,16.77212,14.06685,14.17272,0.06453126,1237654028714967126
15.03379,16.64255,14.92047,14.92047,0.08328578,1237653664714391735
14.28036,16.74433,14.18311,14.21351,0.08216231,1237653664714391702
15.02055,17.00906,14.9667,14.9667,0.06261526,1237653664180732221
14.7144,17.51948,14.72782,14.69244,0.04598946,1237653614794309776
15.52919,17.30861,15.35041,15.38211,0.03639473,1237653614794244234
15.39769,18.2492,15.39888,15.39889,0.03832785,1237653614794178781
12.71045,15.69535,12.66063,12.6679,0.03919209,1237653614794178648
13.9239,15.9707,13.87165,13.87162,0.04202066,1237653614793982042
15.41981,17.916,15.46275,15.33197,0.05809342,1237653612646432836
14.02762,16.24949,13.90632,13.91887,0.1168736,1237653589017493521
15.01754,16.93432,14.95475,14.98737,0.1041306,1237653589017362552
16.62948,19.15462,16.617,16.5175,0.1123029,1237653587944735007
15.90315,16.98163,15.94487,15.94487,0.1155999,1237653587944734748
14.31009,16.07163,14.21134,14.21137,0.1161674,1237653587944669285
16.04276,17.46601,15.91309,15.93488,0.1029196,1237653587406684570
15.891,17.53291,15.83185,15.83188,0.1044083,1237653587406684481
14.69544,16.52304,14.55844,14.55846,0.1049142,1237653587406684364
14.48984,17.49458,14.1326,14.39486,0.09443391,1237651823249522870
15.3993,17.69758,15.44578,15.41376,0.09453142,1237651823249457410
13.91589,16.30256,13.77908,13.85943,0.07150584,1237651823246639324
14.30755,17.15243,14.13334,14.13926,0.06980262,1237651823246639293
12.37578,15.66954,12.64081,12.64074,0.07311632,1237651823246639198
14.82007,19.2197,14.68112,14.68112,0.07337566,1237651823246573749
14.59527,16.38706,14.5113,14.5113,0.3222023,1237651822719729692
13.33876,16.02508,13.20801,13.20802,0.120907,1237651822716584014
15.25192,16.71536,15.1177,15.12049,0.1258207,1237651822716518783
13.49085,16.06155,13.51087,13.51087,0.1254317,1237651822716518782
14.6522,17.01885,14.44554,14.52169,0.09707267,1237651822179844174
14.10305,16.85118,13.89338,13.95545,0.08317198,1237651822173618188
16.48238,18.90675,16.61699,16.48177,0.08065604,1237651822173552811
14.0256,17.01869,14.07342,13.9887,0.08049855,1237651822173552809
13.82473,17.47259,13.87457,13.76654,0.08366089,1237651822173552694
15.83486,18.18051,15.8239,15.80045,0.08002432,1237651822173487316
15.08721,16.647,15.01748,15.01748,0.1114783,1237651821641334952
15.07355,17.00484,14.93197,15.0153,0.0965409,1237651821638975664
14.14698,15.85774,14.0547,14.0547,0.1033967,1237651821638779047
14.58827,17.02461,14.35573,14.44428,0.1085676,1237651821638778970
14.42331,15.99918,14.29494,14.3183,0.07493977,1237651821637533715
12.92814,15.39614,12.88223,12.88223,0.07666221,1237651821097779392
13.60557,16.19953,13.61803,13.59743,0.07264404,1237651821097779258
15.00713,16.62623,14.92351,14.92352,0.1258586,1237651818952982852
14.55956,17.13319,14.32187,14.43874,0.07985442,1237651755098833051
15.18088,17.41544,14.9385,15.04891,0.07446726,1237651755098767633
15.61028,17.23371,15.64383,15.5285,0.05973113,1237651755091492927
14.67984,17.12483,14.76651,14.61618,0.07640635,1237651753485861130
16.36964,18.06135,16.49682,16.32424,0.07277102,1237651753485729932
14.16158,15.97867,14.08867,14.12376,0.07261804,1237651753485729911
16.24532,17.44104,16.13272,16.14005,0.08425874,1237651753452765443
15.20402,16.70106,15.16067,15.16067,0.08373294,1237651753452765233
14.14151,15.70848,14.03404,14.05959,0.09470673,1237651752950956047
14.31468,16.32016,14.16542,14.17039,0.07016186,1237651752929919191
14.17382,16.78508,13.9153,13.95479,0.06043635,1237651752929919057
16.58998,17.80394,16.45646,16.46901,0.06030324,1237651752929853592
14.02123,16.36897,14.39706,14.39706,0.06963202,1237651752929853498
14.67079,16.22211,14.54025,14.54025,0.06774671,1237651752929853497
16.24047,18.55003,16.2077,16.2077,0.07536057,1237651752929788028
12.34347,15.77596,12.44066,12.44066,0.06123699,1237651752919105558
14.66202,16.22082,14.5974,14.59739,0.06495272,1237651752919040221
14.04633,15.87687,13.97843,13.97845,0.06274004,1237651752919040182
14.30239,16.97223,14.32586,14.31947,0.07079057,1237651752415920197
15.96115,18.34017,16.02357,15.89366,0.06759859,1237651752415854874
13.20082,16.7786,13.07586,13.08435,0.06789959,1237651752415854747
15.55821,17.90412,15.57187,15.56758,0.07057493,1237651752415789223
15.04615,16.34347,14.9001,14.91411,0.09061992,1237651752414085200
14.25082,16.24082,14.0733,14.0988,0.2614685,1237651737930694670
16.28741,17.53237,16.1557,16.15567,0.1160293,1237651736314839047
16.70497,18.07623,16.75691,16.6222,0.1101172,1237651736314773859
14.01465,17.05589,13.7388,13.85088,0.114294,1237651736314773623
16.79373,17.565,16.69744,16.71545,0.113968,1237651736314773622
15.0806,16.57332,15.06105,15.06103,0.1239276,1237651736314708252
16.63262,18.53792,16.64041,16.64041,0.1051267,1237651735776461018
14.68653,16.5934,14.51486,14.53855,0.1065955,1237651735776460868
15.56728,17.87251,15.56541,15.52505,0.09404749,1237651735237951685
15.82574,17.10684,15.70556,15.70555,0.07264791,1237651735235920177
15.18206,18.13793,15.21135,15.12342,0.07383734,1237651735235919950
13.66868,16.53515,13.5776,13.59658,0.07387777,1237651735235919946
14.02483,16.60008,13.9336,13.9514,0.09383681,1237651735234543739
15.49948,16.62628,15.38642,15.41196,0.08559907,1237651735234478248
13.51138,15.86201,13.38016,13.384,0.08768186,1237651735234478128
14.57952,16.30738,14.46843,14.46926,0.08447061,1237651735234478093
16.29266,17.48143,16.22704,16.22704,0.05150398,1237651715870359850
15.50818,18.06614,15.52889,15.45499,0.04558589,1237651714798584020
16.13786,18.9473,16.12541,16.00813,0.04309986,1237651714261582084
14.60055,16.52617,14.4216,14.43078,0.03717699,1237651539793215634
15.82667,17.49137,15.58722,15.70886,0.03145852,1237651539782336736
16.21502,17.35975,16.09018,16.1118,0.033891,1237651539782271165
13.98252,17.00791,13.77843,13.85981,0.03533853,1237651539782271105
16.10375,18.23925,16.18099,16.03887,0.02919733,1237651539782205662
15.63533,18.05147,15.62136,15.56251,0.02543322,1237651538187518173
15.39949,18.25277,15.36612,15.36612,0.02914932,1237651538187452545
15.19415,16.44392,15.18956,15.18961,0.03326873,1237651538179850262
12.86105,15.70574,12.77965,12.77964,0.03497294,1237651538179850261
