check,comparison,colour,n,coefficient,ci_low,ci_high,p_value
leave one CG4 group out,CG4_131,r_minus_i,2374,0.0078571560311254,-0.006948183107602439,0.02266249516985324,0.29827117906447664
leave one CG4 group out,CG4_142,r_minus_i,2373,0.007776591070455325,-0.007148448072834122,0.022701630213744772,0.30714736416725197
leave one CG4 group out,CG4_147,r_minus_i,2374,0.007876623266877898,-0.006953049542607614,0.02270629607636341,0.29786902216449673
leave one CG4 group out,CG4_154,r_minus_i,2373,0.004958639069994702,-0.0089641109108623,0.018881389050851703,0.4851468972832935
leave one CG4 group out,CG4_158,r_minus_i,2373,0.007030779601925722,-0.007830253203853825,0.02189181240770527,0.35379038622579806
leave one CG4 group out,CG4_165,r_minus_i,2374,0.007730662024413221,-0.007096834747184925,0.022558158796011366,0.306840995846986
leave one CG4 group out,CG4_173,r_minus_i,2374,0.007971956834204052,-0.006849132207392226,0.02279304587580033,0.29178035882552555
leave one CG4 group out,CG4_188,r_minus_i,2372,0.00676356768834969,-0.00825874245234629,0.021785877829045668,0.3775366919903268
leave one CG4 group out,CG4_197,r_minus_i,2372,0.007269297444036968,-0.007761003871209992,0.022299598759283928,0.34316889658463934
leave one CG4 group out,CG4_204,r_minus_i,2372,0.008618659452068682,-0.006315706486880762,0.023553025391018126,0.2580129815547586
leave one CG4 group out,CG4_206,r_minus_i,2373,0.008018460969284862,-0.0068352687763799744,0.022872190714949697,0.2900355342190143
leave one CG4 group out,CG4_207,r_minus_i,2373,0.006585393816442499,-0.008140179536199115,0.021310967169084115,0.3807520156892299
leave one CG4 group out,CG4_214,r_minus_i,2373,0.008123837057300284,-0.0067502650876811714,0.022997939202281742,0.2844033313247517
leave one CG4 group out,CG4_229,r_minus_i,2374,0.006611937389048236,-0.00805385259821944,0.021277727376315912,0.37689497948472617
leave one CG4 group out,CG4_231,r_minus_i,2373,0.007521181653517452,-0.007430446739305751,0.022472810046340656,0.32416791775930764
leave one CG4 group out,CG4_239,r_minus_i,2372,0.008355292566664112,-0.006646441129562147,0.023357026262890372,0.27500367974605633
leave one CG4 group out,CG4_259,r_minus_i,2373,0.007559331290594412,-0.0073730798461397185,0.022491742427328543,0.321097400523338
leave one CG4 group out,CG4_265,r_minus_i,2374,0.0081858406558402,-0.00665818299811499,0.023029864309795388,0.2797701399595447
leave one CG4 group out,CG4_271,r_minus_i,2374,0.007689862787029772,-0.00716079772153058,0.02254052329559012,0.3101561062076187
leave one CG4 group out,CG4_293,r_minus_i,2372,0.007111718524089556,-0.0077995329222338376,0.022022969970412948,0.34990263762998164
leave one CG4 group out,CG4_303,r_minus_i,2373,0.007340936239070547,-0.007541059253979557,0.02222293173212065,0.3336420959994387
leave one CG4 group out,CG4_309,r_minus_i,2372,0.008599844811995896,-0.0062411599132543676,0.02344084953724616,0.2560692479692923
leave one CG4 group out,CG4_315,r_minus_i,2373,0.007240183137936337,-0.007605762586232643,0.022086128862105314,0.3391479900074521
