group_uid,sample,Group,Delta_m12,Delta_m12_source,f_L_BGG_raw,f_L_BGG_source,class_label,n_members,f_L_BGG
RG4:10657,RG4,10657,0.9681520000000035,rank_1_2_M_r,0.5809459275951725,Lum_BGG/Lum_group,,4,0.5809459275951725
RG4:10673,RG4,10673,0.5463159999999974,rank_1_2_M_r,0.4777283872424935,Lum_BGG/Lum_group,,4,0.4777283872424935
RG4:10693,RG4,10693,0.8993280000000006,rank_1_2_M_r,0.5782392607787625,Lum_BGG/Lum_group,,4,0.5782392607787625
RG4:10757,RG4,10757,0.6272689999999983,rank_1_2_M_r,0.4622514556309589,Lum_BGG/Lum_group,,4,0.4622514556309589
RG4:10767,RG4,10767,1.112243999999997,rank_1_2_M_r,0.5988949902633451,Lum_BGG/Lum_group,,4,0.5988949902633451
RG4:10806,RG4,10806,1.5120460000000016,rank_1_2_M_r,0.6452098310155334,Lum_BGG/Lum_group,,4,0.6452098310155334
RG4:10843,RG4,10843,0.7127610000000004,rank_1_2_M_r,0.5337828268685073,Lum_BGG/Lum_group,,4,0.5337828268685073
RG4:10883,RG4,10883,0.5301739999999988,rank_1_2_M_r,0.4794977756842146,Lum_BGG/Lum_group,,4,0.4794977756842146
RG4:10900,RG4,10900,1.1620100000000022,rank_1_2_M_r,0.5548720727026087,Lum_BGG/Lum_group,,4,0.5548720727026087
RG4:10908,RG4,10908,1.375122000000001,rank_1_2_M_r,0.6639006753348383,Lum_BGG/Lum_group,,4,0.6639006753348383
RG4:10913,RG4,10913,0.3064099999999996,rank_1_2_M_r,0.5023571370811953,Lum_BGG/Lum_group,,4,0.5023571370811953
RG4:10914,RG4,10914,0.654122000000001,rank_1_2_M_r,0.4793613723328843,Lum_BGG/Lum_group,,4,0.4793613723328843
RG4:10929,RG4,10929,0.28583599999999976,rank_1_2_M_r,0.43392938194628505,Lum_BGG/Lum_group,,4,0.43392938194628505
RG4:10955,RG4,10955,1.5880520000000011,rank_1_2_M_r,0.7133397484177764,Lum_BGG/Lum_group,,4,0.7133397484177764
RG4:10964,RG4,10964,0.06227799999999917,rank_1_2_M_r,0.39132788220532433,Lum_BGG/Lum_group,,4,0.39132788220532433
RG4:10990,RG4,10990,0.9817670000000014,rank_1_2_M_r,0.5395515442321963,Lum_BGG/Lum_group,,4,0.5395515442321963
RG4:11021,RG4,11021,0.9363759999999992,rank_1_2_M_r,0.549996466071623,Lum_BGG/Lum_group,,4,0.549996466071623
RG4:11071,RG4,11071,1.7774160000000023,rank_1_2_M_r,0.6982951905471682,Lum_BGG/Lum_group,,4,0.6982951905471682
RG4:11076,RG4,11076,1.3107250000000015,rank_1_2_M_r,0.6733586570872061,Lum_BGG/Lum_group,,4,0.6733586570872061
RG4:11078,RG4,11078,0.528772,rank_1_2_M_r,0.5145603550445879,Lum_BGG/Lum_group,,4,0.5145603550445879
RG4:11108,RG4,11108,0.8057510000000008,rank_1_2_M_r,0.5717708708411596,Lum_BGG/Lum_group,,4,0.5717708708411596
RG4:11129,RG4,11129,1.3748979999999982,rank_1_2_M_r,0.6926120893914826,Lum_BGG/Lum_group,,4,0.6926120893914826
RG4:11153,RG4,11153,1.9517880000000005,rank_1_2_M_r,0.7324435044190917,Lum_BGG/Lum_group,,4,0.7324435044190917
RG4:11198,RG4,11198,0.8364520000000013,rank_1_2_M_r,0.6004023352585579,Lum_BGG/Lum_group,,4,0.6004023352585579
RG4:11252,RG4,11252,0.9480819999999994,rank_1_2_M_r,0.639676656881208,Lum_BGG/Lum_group,,4,0.639676656881208
RG4:11265,RG4,11265,1.3136930000000007,rank_1_2_M_r,0.6030497505356435,Lum_BGG/Lum_group,,4,0.6030497505356435
RG4:11278,RG4,11278,2.344539000000001,rank_1_2_M_r,0.7740585342083132,Lum_BGG/Lum_group,,4,0.7740585342083132
RG4:11305,RG4,11305,2.2254520000000007,rank_1_2_M_r,0.728307571903474,Lum_BGG/Lum_group,,4,0.728307571903474
RG4:11370,RG4,11370,2.131565000000002,rank_1_2_M_r,0.7392715425173072,Lum_BGG/Lum_group,,4,0.7392715425173072
RG4:11562,RG4,11562,1.9438209999999998,rank_1_2_M_r,0.7111613254861238,Lum_BGG/Lum_group,,4,0.7111613254861238
RG4:9394,RG4,9394,2.5414819999999985,rank_1_2_M_r,0.8025325599245311,Lum_BGG/Lum_group,,4,0.8025325599245311
RG4:9578,RG4,9578,0.17951599999999956,rank_1_2_M_r,0.4863500095027196,Lum_BGG/Lum_group,,4,0.4863500095027196
RG4:9765,RG4,9765,0.026720000000000965,rank_1_2_M_r,0.44024798024103706,Lum_BGG/Lum_group,,4,0.44024798024103706
RG4:9774,RG4,9774,1.653329000000003,rank_1_2_M_r,0.7160717156255462,Lum_BGG/Lum_group,,4,0.7160717156255462
RG4:9790,RG4,9790,0.5935399999999973,rank_1_2_M_r,0.5173517553926429,Lum_BGG/Lum_group,,4,0.5173517553926429
RG4:9833,RG4,9833,1.294003,rank_1_2_M_r,0.6010631760830528,Lum_BGG/Lum_group,,4,0.6010631760830528
RG4:9869,RG4,9869,2.1400979999999983,rank_1_2_M_r,0.7560732715491005,Lum_BGG/Lum_group,,4,0.7560732715491005
RG4:9995,RG4,9995,1.0889989999999976,rank_1_2_M_r,0.6411922824383656,Lum_BGG/Lum_group,,4,0.6411922824383656
