split_variable,split_value,colour,comparison,n_CG4,n_ordinary,median_CG4,median_ordinary,median_diff,ci68_low,ci68_high,ci95_low,ci95_high,mannwhitney_p,permutation_p,cliffs_delta,permutation_p_holm,permutation_p_holm_significant
morphology_harmonized,Spiral,u_minus_g,Control4C,51,659,-0.1704083017884943,-0.1942074758192398,0.023799174030745496,-0.02988614534850753,0.07162055195783917,-0.09111294912615983,0.10970460976083915,0.9542264415305352,0.6413586413586414,0.004849891398137407,1.0,False
morphology_harmonized,Spiral,u_minus_g,RG4,51,69,-0.1704083017884943,-0.23809752189278988,0.06768922010429557,0.0033742917027848223,0.12955702168293673,-0.06976783187993396,0.19222109180569627,0.45734958214422394,0.3036963036963037,0.07985223074737147,1.0,False
morphology_harmonized,Spiral,g_minus_r,Ordinary pooled,51,1285,-0.02133541066289335,-0.05806009107354071,0.03672468041064736,0.01554465816378663,0.05160317089467337,-0.007243535072542459,0.0732293952970577,0.13731955485153396,0.14485514485514486,0.12254520485236897,0.4345654345654346,False
morphology_harmonized,Spiral,g_minus_r,Control4B,51,557,-0.02133541066289335,-0.08026051382216226,0.05892510315926891,0.03541135407774132,0.07500706706720855,0.011579884490530191,0.09664641544022674,0.007414547850654143,0.015984015984015984,0.22638786214665396,0.06393606393606394,False
morphology_harmonized,Spiral,g_minus_r,Control4C,51,659,-0.02133541066289335,-0.03265048172204288,0.011315071059149528,-0.011130868265335159,0.02584953971368878,-0.0318364359595822,0.0463194423914071,0.6701843885920681,0.6723276723276723,0.0357939837543515,1.0,False
morphology_harmonized,Spiral,g_minus_r,RG4,51,69,-0.02133541066289335,-0.05806009107354071,0.03672468041064736,0.004749392648501012,0.06786184875459922,-0.03737439756875163,0.0981314125736088,0.2932021512472742,0.3306693306693307,0.11281614094913328,1.0,False
morphology_harmonized,Spiral,r_minus_i,Ordinary pooled,51,1285,0.008212415774014326,-0.006150511583537632,0.014362927357551958,0.003016620608098125,0.030272469736569007,-0.009309373571177157,0.037772339730529826,0.14883500001359423,0.18181818181818182,0.1190661478599222,0.4345654345654346,False
morphology_harmonized,Spiral,r_minus_i,Control4B,51,557,0.008212415774014326,-0.014205081168494449,0.022417496942508774,0.01498693010890485,0.0372155633196556,0.0017433840351992187,0.04604420741224314,0.0171428085790438,0.03396603396603397,0.2015348329637061,0.08091908091908091,False
morphology_harmonized,Spiral,r_minus_i,Control4C,51,659,0.008212415774014326,0.0012079945081074905,0.007004421265906835,-0.002275220290150509,0.022513782818955774,-0.014645335417286737,0.02946184922571455,0.4423862284889566,0.5634365634365635,0.06453628492368124,1.0,False
morphology_harmonized,Spiral,r_minus_i,RG4,51,69,0.008212415774014326,0.009170204652994618,-0.0009577888789802924,-0.011318928904993864,0.01482676919744652,-0.02456188932902581,0.028685647590777394,0.8111896652437081,1.0,-0.025859619210002793,1.0,False
