panel,sample,scope,value_column,statistic,bin_left,bin_right,bin_centre,mass_location,n_galaxies,n_groups,estimate,ci16,ci84,displayed,interval_method
strong_halpha,RG4,all,strong_halpha,fraction,7.0,9.5,8.25,9.347853,25,21,1.0,1.0,1.0,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,RG4,all,strong_halpha,fraction,9.5,10.0,9.75,9.747553,48,38,0.7916666666666666,0.7307692307692307,0.851063829787234,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,RG4,all,strong_halpha,fraction,10.0,10.5,10.25,10.262830000000001,54,37,0.5925925925925926,0.5281372212692967,0.6591682785299805,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,RG4,all,strong_halpha,fraction,10.5,11.0,10.75,10.84702,55,38,0.2909090909090909,0.23636363636363636,0.3448275862068966,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,RG4,all,strong_halpha,fraction,11.0,12.5,11.75,11.0992,22,21,0.22727272727272727,0.14285714285714285,0.3181818181818182,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,RG4,all,agn_like,fraction,7.0,9.5,8.25,9.347853,25,21,0.0,0.0,0.0,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,RG4,all,agn_like,fraction,9.5,10.0,9.75,9.719806,44,36,0.11363636363636363,0.06818181818181818,0.15555555555555556,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,RG4,all,agn_like,fraction,10.0,10.5,10.25,10.2711,49,35,0.2653061224489796,0.20833333333333334,0.32075471698113206,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,RG4,all,agn_like,fraction,10.5,11.0,10.75,10.84148,50,35,0.5,0.425531914893617,0.5652173913043478,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,RG4,all,agn_like,fraction,11.0,12.5,11.75,11.0996,21,20,0.6666666666666666,0.55,0.7619047619047619,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,RG4,all,Dn4000,median,7.0,9.5,8.25,9.316831,27,23,1.231552,1.20556148,1.2522745,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,RG4,all,Dn4000,median,9.5,10.0,9.75,9.762287,51,40,1.373064,1.348665,1.3836564999999998,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,RG4,all,Dn4000,median,10.0,10.5,10.25,10.24989,57,40,1.560592,1.523474,1.631154,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,RG4,all,Dn4000,median,10.5,11.0,10.75,10.83594,61,41,1.835794,1.79816354,1.84744,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,RG4,all,Dn4000,median,11.0,12.5,11.75,11.0988,23,22,1.885969,1.86999,1.925493,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,RG4,all,log_Rchl_r_kpc,median,7.0,9.5,8.25,9.316831,25,21,0.5235525872951529,0.42244201969026574,0.53086196794832,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,RG4,all,log_Rchl_r_kpc,median,9.5,10.0,9.75,9.778884,48,38,0.3800976894034564,0.35064021877200385,0.4178207009368107,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,RG4,all,log_Rchl_r_kpc,median,10.0,10.5,10.25,10.24989,57,40,0.4422394420835783,0.4183570488844144,0.4856059946878413,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,RG4,all,log_Rchl_r_kpc,median,10.5,11.0,10.75,10.83092,54,34,0.6882419546396197,0.6394794445829205,0.7370676362455256,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,RG4,all,log_Rchl_r_kpc,median,11.0,12.5,11.75,11.06011,13,13,0.7131363914556449,0.6734310433332499,0.7534949581145425,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
