sample,outcome,group_quantity,n_groups,spearman_rho,ci95_low,ci95_high,p_value,p_holm,p_holm_significant
Control4B,colour_scatter,Voffset,250,0.04527010032160514,-0.07348039652909232,0.1678264010091403,0.47611722164926973,1.0,False
Control4C,mean_delta_u_minus_r,t_cr,637,-0.4085503677473191,-0.477976989065299,-0.3397891126041141,5.0689680797975006e-27,3.5482776558582505e-26,True
Control4C,mean_delta_u_minus_r,Vdisp,637,0.24531384592728586,0.16923553870028052,0.3244146769415205,3.486957108361225e-10,2.092174265016735e-09,True
Control4C,mean_delta_u_minus_r,Lum_group,637,0.12089379158809403,0.03788061330830757,0.19622525042321978,0.002239780948800656,0.01119890474400328,True
Control4C,mean_delta_u_minus_r,M_virial,637,0.028168086212514137,-0.05062316090206931,0.10801676031102737,0.4779057978745349,1.0,False
Control4C,mean_delta_u_minus_r,M_virial_over_L,637,-0.008604695796814023,-0.08624570372674714,0.07099493684268103,0.8284030491076739,1.0,False
Control4C,mean_delta_u_minus_r,Offset_Bary,637,-0.1030977109144225,-0.18050074519820838,-0.02492362175057476,0.009216973845231485,0.03686789538092594,True
Control4C,mean_delta_u_minus_r,Voffset,637,-0.023531863619232336,-0.10444304383580821,0.057944165888353806,0.5532929414870887,1.0,False
Control4C,median_delta_u_minus_r,t_cr,637,-0.4013863262864099,-0.47367569360811984,-0.331705411847938,4.6721919315400904e-26,3.270534352078063e-25,True
Control4C,median_delta_u_minus_r,Vdisp,637,0.23863430927284443,0.16373523087716052,0.31632068319825046,1.0649278399255288e-09,6.389567039553173e-09,True
Control4C,median_delta_u_minus_r,Lum_group,637,0.11133865669603192,0.0317813213092932,0.1879014757206375,0.0049036961799237356,0.024518480899618677,True
Control4C,median_delta_u_minus_r,M_virial,637,0.019852022686858636,-0.06204475546531033,0.10060360925406041,0.6169993224607784,1.0,False
Control4C,median_delta_u_minus_r,M_virial_over_L,637,-0.014576788579948726,-0.0909853274111844,0.06465517775204238,0.7134710135160591,1.0,False
Control4C,median_delta_u_minus_r,Offset_Bary,637,-0.11008890728195496,-0.18668527564772175,-0.03413155377795629,0.005410501018439969,0.024518480899618677,True
Control4C,median_delta_u_minus_r,Voffset,637,-0.01743516266241427,-0.09805821763785252,0.06470658366594975,0.6605074177695138,1.0,False
Control4C,satellite_blue_fraction,t_cr,637,0.3821167099937173,0.31226984409198577,0.4529897726586794,1.4126410993143432e-23,9.888487695200402e-23,True
Control4C,satellite_blue_fraction,Vdisp,637,-0.2131433627087613,-0.2945476599850359,-0.13529513095795329,5.5893756383856405e-08,3.3536253830313843e-07,True
Control4C,satellite_blue_fraction,Lum_group,637,-0.0788402483318396,-0.1516980913094653,-0.0001470395124439908,0.04669827377822266,0.18679309511289063,False
Control4C,satellite_blue_fraction,M_virial,637,-0.016960860806742414,-0.09454542715913317,0.060827457572701416,0.6691879750116498,1.0,False
Control4C,satellite_blue_fraction,M_virial_over_L,637,0.007679340255063949,-0.07190550636224642,0.08481073209233493,0.8466144223272729,1.0,False
Control4C,satellite_blue_fraction,Offset_Bary,637,0.11294666627120455,0.03857553108284778,0.1883851443435714,0.004314753251856621,0.021573766259283103,True
