control,subset,environment,adjusted,n,groups,slope_per_dex,se
Control4B,Elliptical,log_parent_N,+SF,690,461,0.018225344662655994,0.020826144689330493
Control4B,Elliptical,log_parent_N,+z+SF,690,461,0.0015360570730235054,0.023044178135406438
Control4B,Elliptical,log_core_size,mass only,698,465,0.0017476513044709595,0.021444350887398215
Control4B,Elliptical,log_core_size,+z,698,465,0.0061416793744975195,0.020792657676573043
Control4B,Elliptical,log_core_size,+SF,690,461,0.008083180926025097,0.02041196571383212
Control4B,Elliptical,log_core_size,+z+SF,690,461,0.011823024519495537,0.019849818490929844
Control4B,Elliptical,log_group_Vdisp,mass only,698,465,-0.011842412622224812,0.016697600179406812
Control4B,Elliptical,log_group_Vdisp,+z,698,465,-0.01669084206725578,0.016440915681051854
Control4B,Elliptical,log_group_Vdisp,+SF,690,461,-0.014282187579469903,0.015731968795355735
Control4B,Elliptical,log_group_Vdisp,+z+SF,690,461,-0.01818408671260141,0.015597957767247771
Control4B,Spiral,log_parent_N,mass only,1065,588,0.03025099959070961,0.013164901787050256
Control4B,Spiral,log_parent_N,+z,1065,588,0.005464463005906226,0.01390656660402216
Control4B,Spiral,log_parent_N,+SF,1061,587,0.027888554625552973,0.012924418172744659
Control4B,Spiral,log_parent_N,+z+SF,1061,587,0.005571454084032012,0.0137520396809555
Control4B,Spiral,log_core_size,mass only,1065,588,-0.02420316262593041,0.018344793673112914
Control4B,Spiral,log_core_size,+z,1065,588,-0.022327491113617245,0.017844904345222543
Control4B,Spiral,log_core_size,+SF,1061,587,-0.015341965969849252,0.017769450688772413
Control4B,Spiral,log_core_size,+z+SF,1061,587,-0.014010850188236137,0.017326551260856356
Control4B,Spiral,log_group_Vdisp,mass only,1065,588,-0.002259283721182621,0.01583367116688337
Control4B,Spiral,log_group_Vdisp,+z,1065,588,-0.006282045939965524,0.015243999278256983
Control4B,Spiral,log_group_Vdisp,+SF,1061,587,-0.007476181023218136,0.015594293626949276
Control4B,Spiral,log_group_Vdisp,+z+SF,1061,587,-0.010872873858311614,0.015029746700665016
