product,role,control,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
FIREFLY ELODIE light-weighted,BGG,Control4C,all,57,648,57.0,648.0,1.0,11.1,-0.015339775788604456,0.013083283215881949,-0.028800343297442865,-0.0024899911491207314,-0.040455146157409555,0.010580052102206878,2000.0,-0.015339775788604456,0.013083283215881949,-0.028800343297442865,-0.0024899911491207314,-0.040455146157409555,0.010580052102206878
FIREFLY ELODIE light-weighted,BGG,Control4C,SF=Quenched,45,532,45.0,532.0,1.0,11.1,-0.004353750848789183,0.011515799742910596,-0.01617489998441442,0.006142046879547654,-0.027138807282624355,0.016912554269773367,2000.0,-0.004353750848789183,0.011515799742910596,-0.01617489998441442,0.006142046879547654,-0.027138807282624355,0.016912554269773367
FIREFLY ELODIE light-weighted,BGG,Control4C,SF=Starforming,11,106,11.0,106.0,1.0,11.1,-0.04659249892096255,0.029564282753318682,-0.07619503589410292,-0.01764872046798838,-0.10279704882590891,0.011206902846871111,2000.0,-0.04659249892096255,0.029564282753318682,-0.07619503589410292,-0.01764872046798838,-0.10279704882590891,0.011206902846871111
FIREFLY ELODIE light-weighted,BGG,Control4C,morph=Elliptical,36,404,36.0,404.0,1.0,11.1,-0.009385727214461573,0.013027466578187286,-0.022533273824010977,0.0035955173500111614,-0.03551704871310568,0.014696332715497062,2000.0,-0.009385727214461573,0.013027466578187286,-0.022533273824010977,0.0035955173500111614,-0.03551704871310568,0.014696332715497062
FIREFLY ELODIE light-weighted,BGG,Control4C,morph=Spiral,17,194,17.0,194.0,1.0,11.1,-0.008522989826245598,0.023503744911632905,-0.03242455191721423,0.01611556515001567,-0.05519413012446361,0.03721768897288574,2000.0,-0.008522989826245598,0.023503744911632905,-0.03242455191721423,0.01611556515001567,-0.05519413012446361,0.03721768897288574
FIREFLY ELODIE light-weighted,BGG,Control4C,morph=Uncertain,1,19,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted,Satellite,RG4,all,176,166,62.0,56.0,1.0,10.2,0.07637025327904398,0.03529854971374838,0.041807611437586954,0.11093489297471755,0.007308544002790995,0.1449594531176592,2000.0,0.07637025327904398,0.03529854971374838,0.041807611437586954,0.11093489297471755,0.007308544002790995,0.1449594531176592
FIREFLY MILES mass-weighted,Satellite,RG4,SF=Quenched,101,63,57.0,37.0,1.0,10.2,0.014962962937389747,0.02668727448387758,-0.011086649171506483,0.041462109952521545,-0.0356756112056881,0.06326773114400965,2000.0,0.014962962937389747,0.02668727448387758,-0.011086649171506483,0.041462109952521545,-0.0356756112056881,0.06326773114400965
FIREFLY MILES mass-weighted,Satellite,RG4,SF=Starforming,72,103,47.0,52.0,1.0,10.2,0.06699480335287128,0.05876554746497056,0.014039229938258171,0.12068917841810681,-0.03712982494515185,0.17362752722728297,2000.0,0.06699480335287128,0.05876554746497056,0.014039229938258171,0.12068917841810681,-0.03712982494515185,0.17362752722728297
FIREFLY MILES mass-weighted,Satellite,RG4,morph=Elliptical,88,39,52.0,31.0,1.0,10.2,-0.007339245854411618,0.03646093881474993,-0.04337446641775084,0.028377899456935928,-0.07798916458713347,0.06626350123950914,2000.0,-0.007339245854411618,0.03646093881474993,-0.04337446641775084,0.028377899456935928,-0.07798916458713347,0.06626350123950914
FIREFLY MILES mass-weighted,Satellite,RG4,morph=Spiral,68,103,46.0,53.0,1.0,10.2,0.09778936625099452,0.042241402016061226,0.055237843740243917,0.13878863867652935,0.016767030495700688,0.1829822389638308,2000.0,0.09778936625099452,0.042241402016061226,0.055237843740243917,0.13878863867652935,0.016767030495700688,0.1829822389638308
FIREFLY MILES mass-weighted,Satellite,RG4,morph=Uncertain,6,13,6.0,13.0,1.0,10.2,-0.03228493479986137,0.2762175585798658,-0.35775759461138773,0.20875258319931117,-0.5976705258268581,0.40814391190301186,2000.0,-0.03228493479986137,0.2762175585798658,-0.35775759461138773,0.20875258319931117,-0.5976705258268581,0.40814391190301186
FIREFLY MILES mass-weighted,Satellite,RG4,Quenched&Elliptical,74,31,48.0,25.0,1.0,10.2,-0.01892049248074425,0.032917783661768306,-0.05281477099577646,0.012659087745899935,-0.08185480756970673,0.04292088078779504,2000.0,-0.01892049248074425,0.032917783661768306,-0.05281477099577646,0.012659087745899935,-0.08185480756970673,0.04292088078779504
FIREFLY MILES mass-weighted,Satellite,RG4,Quenched&Spiral,20,24,16.0,22.0,1.0,10.2,0.04870905300890231,0.043855452870182755,0.0073176776795613845,0.09306475837582404,-0.0393420494706229,0.13237926090934357,2000.0,0.04870905300890231,0.043855452870182755,0.0073176776795613845,0.09306475837582404,-0.0393420494706229,0.13237926090934357
FIREFLY MILES mass-weighted,Satellite,RG4,Starforming&Elliptical,11,8,11.0,8.0,1.0,10.2,-0.07429427991399037,0.16946703404203353,-0.2703244985814912,0.07725227430799994,-0.4540179047126514,0.2320549716863445,2000.0,-0.07429427991399037,0.16946703404203353,-0.2703244985814912,0.07725227430799994,-0.4540179047126514,0.2320549716863445
FIREFLY MILES mass-weighted,Satellite,RG4,Starforming&Spiral,48,79,37.0,49.0,1.0,10.2,0.10698282340760513,0.05659774441944251,0.055170452119268465,0.1653016715391895,-0.006158177026337806,0.21617304117167319,2000.0,0.10698282340760513,0.05659774441944251,0.055170452119268465,0.1653016715391895,-0.006158177026337806,0.21617304117167319
FIREFLY MILES mass-weighted,Satellite,Control4C,all,176,1978,62.0,699.0,1.0,10.2,0.016748763196207068,0.023772881818243007,-0.006244747125060503,0.04121229501994197,-0.030694895246959692,0.06116658645757944,2000.0,0.016748763196207068,0.023772881818243007,-0.006244747125060503,0.04121229501994197,-0.030694895246959692,0.06116658645757944
FIREFLY MILES mass-weighted,Satellite,Control4C,SF=Quenched,101,1013,57.0,576.0,1.0,10.2,0.0031601269137670482,0.014809039529079958,-0.011277647666316603,0.018055544441923154,-0.02703121754667531,0.03092791600911794,2000.0,0.0031601269137670482,0.014809039529079958,-0.011277647666316603,0.018055544441923154,-0.02703121754667531,0.03092791600911794
FIREFLY MILES mass-weighted,Satellite,Control4C,SF=Starforming,72,948,47.0,539.0,1.0,10.2,0.0021509112788776954,0.04753825294907551,-0.041403438832797276,0.04923732258611864,-0.08698086312698736,0.09276519415748066,2000.0,0.0021509112788776954,0.04753825294907551,-0.041403438832797276,0.04923732258611864,-0.08698086312698736,0.09276519415748066
FIREFLY MILES mass-weighted,Satellite,Control4C,morph=Elliptical,88,704,52.0,467.0,1.0,10.2,-0.006725995902314116,0.023402913139428754,-0.030703138081336095,0.01551791115591525,-0.05544002854440641,0.035926032384230845,2000.0,-0.006725995902314116,0.023402913139428754,-0.030703138081336095,0.01551791115591525,-0.05544002854440641,0.035926032384230845
FIREFLY MILES mass-weighted,Satellite,Control4C,morph=Spiral,68,1028,46.0,572.0,1.0,10.2,0.04936078496868148,0.02971214617588184,0.020088330834577638,0.07874370887375073,-0.008081560957111919,0.10444068092658854,2000.0,0.04936078496868148,0.02971214617588184,0.020088330834577638,0.07874370887375073,-0.008081560957111919,0.10444068092658854
FIREFLY MILES mass-weighted,Satellite,Control4C,morph=Uncertain,6,125,6.0,114.0,1.0,10.2,-0.12267084456763117,0.1805145405900135,-0.32026804376222934,0.052077057957938946,-0.48167166017733193,0.2140847893858878,2000.0,-0.12267084456763117,0.1805145405900135,-0.32026804376222934,0.052077057957938946,-0.48167166017733193,0.2140847893858878
FIREFLY MILES mass-weighted,Satellite,Control4C,Quenched&Elliptical,74,589,48.0,415.0,1.0,10.2,-0.019747402487813853,0.017342173071443288,-0.036681744685901775,-0.0021962961606613344,-0.05360308595244229,0.012545149543407332,2000.0,-0.019747402487813853,0.017342173071443288,-0.036681744685901775,-0.0021962961606613344,-0.05360308595244229,0.012545149543407332
FIREFLY MILES mass-weighted,Satellite,Control4C,Quenched&Spiral,20,287,16.0,244.0,1.0,10.2,0.03525974066019297,0.02833158477810653,0.00613739051010859,0.06291274732345747,-0.021654860352388627,0.09305541129425744,2000.0,0.03525974066019297,0.02833158477810653,0.00613739051010859,0.06291274732345747,-0.021654860352388627,0.09305541129425744
FIREFLY MILES mass-weighted,Satellite,Control4C,Starforming&Elliptical,11,109,11.0,102.0,1.0,10.2,0.00725512723718982,0.14474475124804023,-0.13464203821391166,0.14739934481802583,-0.2732454244480713,0.27730313993341965,2000.0,0.00725512723718982,0.14474475124804023,-0.13464203821391166,0.14739934481802583,-0.2732454244480713,0.27730313993341965
FIREFLY MILES mass-weighted,Satellite,Control4C,Starforming&Spiral,48,739,37.0,469.0,1.0,10.2,0.05130561555030416,0.04233403641681178,0.00825015666786316,0.09129890745413581,-0.029425886253435132,0.13419126684772165,2000.0,0.05130561555030416,0.04233403641681178,0.00825015666786316,0.09129890745413581,-0.029425886253435132,0.13419126684772165
FIREFLY MILES mass-weighted,BGG,RG4,all,57,53,57.0,53.0,1.0,11.1,0.007772789925940694,0.03117910883855118,-0.024187032271983624,0.0378647252459341,-0.056861424134879913,0.07039748087157692,2000.0,0.007772789925940694,0.03117910883855118,-0.024187032271983624,0.0378647252459341,-0.056861424134879913,0.07039748087157692
FIREFLY MILES mass-weighted,BGG,RG4,SF=Quenched,45,38,45.0,38.0,1.0,11.1,0.06025557792447843,0.025090563596007916,0.03642907566362997,0.0846427521562946,0.013013113864545841,0.1104360202880157,2000.0,0.06025557792447843,0.025090563596007916,0.03642907566362997,0.0846427521562946,0.013013113864545841,0.1104360202880157
FIREFLY MILES mass-weighted,BGG,RG4,SF=Starforming,11,15,11.0,15.0,1.0,11.1,-0.12659093766863258,0.07555634307006569,-0.2013526327715227,-0.058974539814686616,-0.27511615496435593,0.010181319154932643,2000.0,-0.12659093766863258,0.07555634307006569,-0.2013526327715227,-0.058974539814686616,-0.27511615496435593,0.010181319154932643
FIREFLY MILES mass-weighted,BGG,RG4,morph=Elliptical,36,21,36.0,21.0,1.0,11.1,0.047680942082735524,0.03047761786306567,0.022411884260345342,0.07796345638037849,-0.004941999437184982,0.11056703160428667,2000.0,0.047680942082735524,0.03047761786306567,0.022411884260345342,0.07796345638037849,-0.004941999437184982,0.11056703160428667
