age_product,role,control,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi,estimate,x_SF_beta,x_SF_se,x_SF_ci68_lo,x_SF_ci68_hi,x_SF_ci95_lo,x_SF_ci95_hi,D4000n_beta,D4000n_se,D4000n_ci68_lo,D4000n_ci68_hi,D4000n_ci95_lo,D4000n_ci95_hi,sSFR_beta,sSFR_se,sSFR_ci68_lo,sSFR_ci68_hi,sSFR_ci95_lo,sSFR_ci95_hi
FIREFLY MILES mass-weighted age,BGG,Control4C,SF=Quenched,45,532,45,532,1,11.1,0.01161312969633951,0.021596531716840416,-0.009902982030586573,0.03306942621456741,-0.031106925687465165,0.05324911303479215,2000,0.01161312969633951,0.021596531716840416,-0.009902982030586573,0.03306942621456741,-0.031106925687465165,0.05324911303479215,"+0.012 [-0.031, +0.053]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,BGG,Control4C,SF=Starforming,11,106,11,106,1,11.1,0.0418913422326066,0.040451270847382065,0.002344017265735332,0.08302078737741399,-0.03438837675103313,0.12304187659605917,2000,0.0418913422326066,0.040451270847382065,0.002344017265735332,0.08302078737741399,-0.03438837675103313,0.12304187659605917,"+0.042 [-0.034, +0.123]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,BGG,Control4C,morph=Elliptical,36,404,36,404,1,11.1,0.005803924670870099,0.02556517149731031,-0.019470703077667167,0.029690850972918147,-0.04415320618022345,0.05455824962248133,2000,0.005803924670870099,0.02556517149731031,-0.019470703077667167,0.029690850972918147,-0.04415320618022345,0.05455824962248133,"+0.006 [-0.044, +0.055]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,BGG,Control4C,morph=Spiral,17,194,17,194,1,11.1,0.04312779971434343,0.03044807353277598,0.011589155513031215,0.07231953308891186,-0.019073875986425716,0.09729071357882496,2000,0.04312779971434343,0.03044807353277598,0.011589155513031215,0.07231953308891186,-0.019073875986425716,0.09729071357882496,"+0.043 [-0.019, +0.097]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,BGG,Control4C,all +SF state,56,638,56,638,1,11.1,0.01759055392641958,0.019202853854606836,-0.002005666302735453,0.03597797555067289,-0.02208435336972182,0.054030845130510353,2000,0.01759055392641958,0.019202853854606836,-0.002005666302735453,0.03597797555067289,-0.02208435336972182,0.054030845130510353,"+0.018 [-0.022, +0.054]",-0.04350007936968715,0.018702551817080863,-0.06087019496698351,-0.023992555726818406,-0.08075760919267734,-0.006471175182845669,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,BGG,Control4C,all +D4000n,57,647,57,647,1,11.1,0.013139409146369109,0.01917593842858504,-0.005911002494611537,0.03133337822960264,-0.024250758906886518,0.04853465624901315,2000,0.013139409146369109,0.01917593842858504,-0.005911002494611537,0.03133337822960264,-0.024250758906886518,0.04853465624901315,"+0.013 [-0.024, +0.049]",,,,,,,0.20189956228286632,0.04019290493938829,0.1654370658156157,0.2439594683696789,0.12770756361962407,0.28784945932326556,,,,,,
FIREFLY MILES mass-weighted age,BGG,Control4C,all +sSFR,56,638,56,638,1,11.1,0.015890400406462665,0.019294970983285233,-0.004406995889646661,0.034550297673697994,-0.02354146144080715,0.05117915067280999,2000,0.015890400406462665,0.019294970983285233,-0.004406995889646661,0.034550297673697994,-0.02354146144080715,0.05117915067280999,"+0.016 [-0.024, +0.051]",,,,,,,,,,,,,-0.03682539486509899,0.01109479427803826,-0.04746388147967778,-0.025221663673572182,-0.058079792996635446,-0.01583358123534559
FIREFLY MILES mass-weighted age,BGG,RG4,all,57,53,57,53,1,11.1,-0.020287144638572712,0.028647629224423668,-0.05147798875001187,0.005098394148730279,-0.08037744345492451,0.03290219146735257,2000,-0.020287144638572712,0.028647629224423668,-0.05147798875001187,0.005098394148730279,-0.08037744345492451,0.03290219146735257,"-0.020 [-0.080, +0.033]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,BGG,RG4,SF=Quenched,45,38,45,38,1,11.1,-0.0359067486627154,0.03188360213410323,-0.0643009607487413,-0.005844966178934352,-0.10048408064825001,0.02297929962565921,2000,-0.0359067486627154,0.03188360213410323,-0.0643009607487413,-0.005844966178934352,-0.10048408064825001,0.02297929962565921,"-0.036 [-0.100, +0.023]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,BGG,RG4,SF=Starforming,11,15,11,15,1,11.1,-0.013249829045915432,0.06792209597667306,-0.08296504171972144,0.04850609183386267,-0.13695157123760918,0.11654677422314232,2000,-0.013249829045915432,0.06792209597667306,-0.08296504171972144,0.04850609183386267,-0.13695157123760918,0.11654677422314232,"-0.013 [-0.137, +0.117]",,,,,,,,,,,,,,,,,,
