role,control,covariate,n_CG4,n_control,median_CG4,median_control,mass_adjusted_diff,diff_se,diff_ci95_lo,diff_ci95_hi,smd
BGG,Control4B,fibre_light_fraction,57,644,0.10401117438472443,0.10694069977513553,0.004838239842706226,0.006692448514080335,-0.00765351601300089,0.017329422307118935,0.107815785036321
BGG,Control4B,fibre_radius_over_R50,57,644,0.19096045376578782,0.19588635287605588,0.005036621779671547,0.010224378939713981,-0.014712184260737724,0.023770712854818632,0.07453898252098297
BGG,Control4B,R50_kpc,57,644,5.526992949484985,5.4585491370591335,0.12453939698077836,0.2861493970931602,-0.46460852385338114,0.7051704147771386,0.06369018135115877
BGG,Control4B,z,57,644,0.036278649,0.035086073499999995,0.0010528409609050326,0.0008707903412166624,-0.0005661840925973693,0.0025749103774455567,0.15493528765175044
BGG,Control4B,logSN,57,644,1.6135461685466344,1.6264277296759038,-0.01909689470706609,0.010579879344955377,-0.04085756103393529,0.0002765458263264735,-0.23782685904564388
BGG,Control4B,ff_miles_lw_logz_unc,57,644,0.03279149151139646,0.03983871621923804,0.00282715374280447,0.004781064278482774,-0.005726244305922599,0.013226848697066418,0.10459395370398444
BGG,Control4B,p_E,54,614,0.841499984264374,0.8614999949932095,0.0011571809391844096,0.051917723077981606,-0.09996431309382874,0.10404751924438746,0.002916709344401083
BGG,Control4B,frac_Quenched,57,644,1.0,1.0,-0.04365822526435993,0.05233633984251828,-0.14536366127937525,0.054390293459255966,-0.11292544497843825
BGG,Control4B,frac_Starforming,57,644,0.0,0.0,0.039614396830272285,0.05192627954691672,-0.06321964518401962,0.14350463073765,0.10616019859496212
BGG,Control4B,frac_Elliptical,57,644,1.0,1.0,-0.004570478411915361,0.0641091472129145,-0.12378773061419832,0.11202048673218573,-0.009425990745219735
BGG,Control4B,frac_Spiral,57,644,0.0,0.0,0.005565299440609897,0.06104584747226382,-0.09864601379766234,0.11433160431103619,0.012124317418591499
BGG,Control4B,frac_Uncertain,57,644,0.0,0.0,-0.011332070812807798,0.018633160874674114,-0.040077281373020364,0.03562862479306004,-0.0680187669773357
BGG,Control4B,frac_NoGZ,57,644,0.0,0.0,0.010337249784113411,0.031143583702882227,-0.04345330670036617,0.07919513976732509,0.0487716937720887
