sample,objid,specobjid,sfr,lgm,sSFR_status,specObjID,bestObjID,instrument,survey,programname,plate,mjd,fiberID,class,zWarning,snMedian_r,snMedian,run2d,sciencePrimary,extra_specObjID,sfr_tot_p50,lgm_tot_p50,specsfr_tot_p50,info_specObjID,info_sn_median,reliable,missing_type
CG4,1237671260670525453,2913873559157762048,-1.460874,11.12167,Quenched,2.913873559157762e+18,1.2376712606705254e+18,SDSS,sdss,legacy,2588.0,54174.0,162.0,GALAXY,0.0,49.51657,44.37191,26,1.0,2.913873559157762e+18,-1.460874,11.12167,-12.62245,2.913873559157762e+18,44.33095,1.0,valid
CG4,1237671123231768624,2913894175000782848,-1.436003,10.94013,Quenched,2.913894175000783e+18,1.2376711232317686e+18,SDSS,sdss,legacy,2588.0,54174.0,237.0,GALAXY,0.0,43.08111,36.43384,26,1.0,2.913894175000783e+18,-1.436003,10.94013,-12.41111,2.913894175000783e+18,36.42263,1.0,valid
CG4,1237671260670525479,2913875758181017600,-1.553513,10.6821,Quenched,2.9138757581810176e+18,1.2376712606705254e+18,SDSS,sdss,legacy,2588.0,54174.0,170.0,GALAXY,0.0,46.67508,40.9815,26,1.0,2.9138757581810176e+18,-1.553513,10.6821,-12.28626,2.9138757581810176e+18,40.90406,1.0,valid
CG4,1237671260670525478,6006794851143315456,,,NosSFR,6.006794851143315e+18,1.2376712606705254e+18,BOSS,boss,boss,5335.0,56013.0,432.0,GALAXY,0.0,49.4855,45.36738,v5_7_0,1.0,,,,,,,,no-galSpecExtra
CG4,1237664670045765663,1606717491445262336,-0.977784,11.14766,Quenched,1.6067174914452623e+18,1.2376646700457656e+18,SDSS,sdss,legacy,1427.0,52996.0,212.0,GALAXY,0.0,51.13419,46.4409,26,1.0,1.6067174914452623e+18,-0.977784,11.14766,-12.18253,1.6067174914452623e+18,46.35194,1.0,valid
CG4,1237661136886366310,1606719415590610944,0.1685325,10.06689,Starforming,1.606719415590611e+18,1.2376611368863662e+18,SDSS,sdss,legacy,1427.0,52996.0,219.0,GALAXY,0.0,31.18496,25.68879,26,1.0,1.606719415590611e+18,0.1685325,10.06689,-9.948183,1.606719415590611e+18,25.76213,1.0,valid
CG4,1237661381701861554,1606716666811541504,-1.438187,10.16911,Quenched,1.6067166668115415e+18,1.2376613817018616e+18,SDSS,sdss,legacy,1427.0,52996.0,209.0,GALAXY,0.0,31.90878,24.58505,26,1.0,1.6067166668115415e+18,-1.438187,10.16911,-11.66837,1.6067166668115415e+18,24.60803,1.0,valid
CG4,1237661381701861576,1606715842177820672,-0.3123668,9.576148,Starforming,1.6067158421778207e+18,1.2376613817018616e+18,SDSS,sdss,legacy,1427.0,52996.0,206.0,GALAXY,0.0,9.741735,7.46091,26,1.0,1.6067158421778207e+18,-0.3123668,9.576148,-9.945039,1.6067158421778207e+18,7.556858,1.0,valid
CG4,1237671125379842213,2915011828570417152,-1.045819,11.08672,Quenched,2.915011828570417e+18,1.2376711253798423e+18,SDSS,sdss,legacy,2589.0,54174.0,207.0,GALAXY,0.0,44.79049,38.41796,26,1.0,2.915011828570417e+18,-1.045819,11.08672,-12.20739,2.915011828570417e+18,38.38872,1.0,valid
CG4,1237671125379907676,2915012378326231040,-0.3162664,10.5799,Starforming,2.915012378326231e+18,1.2376711253799076e+18,SDSS,sdss,legacy,2589.0,54174.0,209.0,GALAXY,0.0,26.28397,20.92845,26,1.0,2.915012378326231e+18,-0.3162664,10.5799,-10.95329,2.915012378326231e+18,20.9793,1.0,valid
CG4,1237671125379842214,2916178960180078592,-0.4050798,9.934071,Starforming,2.9161789601800786e+18,1.2376711253798423e+18,SDSS,sdss,legacy,2590.0,54175.0,357.0,GALAXY,0.0,25.62259,19.69254,26,1.0,2.9161789601800786e+18,-0.4050798,9.934071,-10.38789,2.9161789601800786e+18,19.82844,1.0,valid
CG4,1237671125379842189,2914000002994956288,-0.5940718,9.890475,Starforming,2.9140000029949563e+18,1.2376711253798423e+18,SDSS,sdss,legacy,2588.0,54174.0,622.0,GALAXY,0.0,11.5968,8.569614,26,1.0,2.9140000029949563e+18,-0.5940718,9.890475,-10.52404,2.9140000029949563e+18,8.591712,1.0,valid
CG4,1237667536399761464,2675231150640752640,-1.247368,11.236,Quenched,2.6752311506407526e+18,1.2376675363997614e+18,SDSS,sdss,legacy,2376.0,53770.0,338.0,GALAXY,0.0,44.76082,37.62059,26,1.0,2.6752311506407526e+18,-1.247368,11.236,-12.58165,2.6752311506407526e+18,37.64095,1.0,valid
CG4,1237667536399761571,2675229226495404032,-1.836296,10.69086,Quenched,2.675229226495404e+18,1.2376675363997617e+18,SDSS,sdss,legacy,2376.0,53770.0,331.0,GALAXY,0.0,27.35817,21.27749,26,1.0,2.675229226495404e+18,-1.836296,10.69086,-12.57268,2.675229226495404e+18,21.32416,1.0,valid
