plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
308,51662,34,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,20638,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
308,51662,36,-1.4997,-1.4287,-1.3649,-1.3265,-1.3046,-1.3321,20640,9.7006,9.7836,9.8856,9.9546,9.9843,9.963
308,51662,116,-1.863,-1.7397,-1.5767,-1.4407,-1.3315,-1.6514,20694,9.2703,9.4578,9.5841,9.7548,9.8406,9.5466
308,51662,119,-2.3826,-2.1229,-1.7941,-1.484,-1.3395,-1.8517,20697,9.1176,9.2415,9.3839,9.5303,9.6276,9.3386
308,51662,560,-1.6371,-1.5671,-1.3686,-1.365,-1.3636,-1.3634,20976,9.5492,9.643,9.652,9.8374,9.9409,9.6586
308,51662,583,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,20991,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
308,51662,590,-2.6514,-2.4328,-2.2059,-1.943,-1.6365,-2.221,20995,9.3876,9.5377,9.6796,9.8245,9.9243,9.7063
308,51662,594,-1.8773,-1.8,-1.6563,-1.5644,-1.4382,-1.6013,20998,9.581,9.7145,9.8506,9.9555,10.0043,9.962
309,51994,196,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21175,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
309,51994,227,-1.4881,-1.4649,-1.4404,-1.3707,-1.3409,-1.4448,21201,9.7552,9.7736,9.9508,9.9734,10.0233,9.9627
309,51994,228,-2.6443,-2.5027,-2.3047,-2.1125,-1.9167,-2.2461,21202,9.5711,9.7121,9.8468,9.9528,10.0355,9.8985
