objid,specobjid,Group,RA,Dec,M_r,z,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm,sfr,sSFR,rank_dist,rank_M_parent
1237662262169174037,2039082031257774080,94,214.516967091,7.654846276,-21.144724,0.024694434,21374186770.784607,3,214.538450174,7.56454998,-23.068217,5.829106602747348,10.66302,-1.737368,-12.400388,3,9
1237662236405530754,2039083680525215744,94,214.590191342,7.687371729,-20.440831,0.025395071,11177183989.902546,4,214.538450174,7.56454998,-23.068217,8.36281881925996,10.29197,-1.640664,-11.932633999999998,4,13
1237664289935261729,1997399824118343680,95,201.041759634,13.976539901,-23.203002,0.023918224,142298656581.5044,1,201.041759634,13.976539901,-23.203002,0.0,11.34219,-1.10468,-12.44687,1,1
1237664289935261842,1997392127536949248,95,201.100765357,13.937515158,-20.790049,0.023723414,15417700324.906591,2,201.041759634,13.976539901,-23.203002,4.354052799926539,10.58066,-0.1039237,-10.6845837,2,5
1237662529523744971,1997394601438111744,95,201.218736592,14.077197295,-20.509521,0.025260747,11907165773.84596,3,201.041759634,13.976539901,-23.203002,12.505393995945644,10.1766,-0.2257069,-10.4023069,4,11
1237664289935196255,1997409994600900608,95,200.903911857,13.973537492,-20.505419,0.022537718,11862264403.613176,4,201.041759634,13.976539901,-23.203002,8.40698443917973,9.749861,-0.1758865,-9.9257475,3,12
1237661465457590279,1592196793465071616,96,252.565417699,23.579821489,-23.051821,0.036095416,123802210750.35738,1,252.565417699,23.579821489,-23.051821,0.0,11.47355,-1.182159,-12.655709,1,1
1237662337335033958,1603346937141028864,96,252.559425381,23.441388729,-22.470397,0.033769466,72470089888.98146,2,252.565417699,23.579821489,-23.051821,8.704836276414161,11.07628,-0.7701642,-11.8464442,4,3
1237661465457524828,1592187172738328576,96,252.507986217,23.695133271,-21.20439,0.036827836,22581667062.31924,3,252.565417699,23.579821489,-23.051821,7.963781920556123,10.74545,-1.247078,-11.992528,3,9
1237661465457590733,1603343363728238592,96,252.582433583,23.573840894,-20.440491,0.035656689,11173684385.140368,4,252.565417699,23.579821489,-23.051821,1.0494732154109874,10.37836,-1.828894,-12.207254,2,20
1237665016314593291,2364520158791231488,99,170.735308598,34.111490506,-23.100093,0.043584674,129430670205.10014,1,170.735308598,34.111490506,-23.100093,0.0,11.51515,-1.071643,-12.586793,1,1
1237665016314593292,2376796201988155392,99,170.732544395,34.110147042,-22.038942,0.044570684,48705364740.43164,2,170.735308598,34.111490506,-23.100093,0.1667442085424008,11.14927,-0.7944573,-11.9437273,2,4
1237665016314593480,2364519883913324544,99,170.798786901,34.152890659,-20.681868,0.046144938,13955557806.151396,3,170.735308598,34.111490506,-23.100093,4.203084534098265,10.52246,-1.33599,-11.85845,4,16
