Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,lMass_200,r_200_kpc
5249,47604192203.10049,98709567493.31108,0.4822652293185898,0.033608022499999994,0.7166139999999999,6,254.174391126,26.83846988,254.04391130124432,26.795903960758263,14.379651796781726,0.5173255983849802,-10.321673278823717,1.6768808563938364e-12,97.5182635782593,0.1058434892100202,637.4642106092322,-22.805898122509344,6814222430028.665,69.03304920762034,5.7982036806533745,Q,True,0.4,0.3333333333333333,0.4,0.3333333333333333,0.2,0.3333333333333333,12.925162099831146,424.1527027079795
5253,39987329377.604576,112740625629.10335,0.35468429551877595,0.043469663,0.04499200000000059,6,120.81884412,24.676780796,120.80538633285882,24.713184828439427,4.68964685297572,0.49132716485505445,43.516707819639656,3.3158661002138007e-13,275.8867001948714,0.1577339820618445,270.8329859281077,-22.950201101279465,31073232417365.344,275.616994707753,0.8707518642564026,Q,True,0.4,0.3333333333333333,0.0,0.0,0.6,0.6666666666666666,12.92104865933471,421.48207750568065
5260,43019959777.69543,84765845558.19678,0.5075152556363007,0.024588260666666667,0.5462249999999997,6,190.902058486,41.018542982,190.90393941084076,41.0626396463983,7.281034021222532,0.3635704423394975,24.257933274716297,-5.921189464667501e-16,173.5094507361614,0.1398075619039503,234.58514444196678,-22.640552246398535,11424693676636.592,134.77944567653563,1.199225876384259,Q,False,0.2,0.16666666666666666,0.0,0.0,0.6,0.6666666666666666,12.911493939871042,420.9296418615573
5261,42673827761.62414,87152014877.96101,0.4896482063137646,0.030217207166666666,0.9636589999999998,6,167.607400784,3.986583674,167.6525644290698,4.061765501968092,11.05574859693832,0.4756644643816262,29.03062094239303,1.7289873236829104e-13,133.3445832107711,0.21771128787815555,439.5688837605179,-22.67069358017168,13359872250859.082,153.2938999696899,2.9239852906457235,Q,True,0.8,0.6666666666666666,0.2,0.16666666666666666,0.0,0.16666666666666666,12.908445770565857,419.197647941835
5265,45859318865.69911,90379459067.60643,0.5074086450483735,0.04008372716666667,1.198291000000001,6,192.194002873,41.654512941,192.16922281723632,41.706791728028264,6.717615849022539,0.49533660693424025,-89.16238908329883,-2.0019541580040823e-12,86.44633875005098,1.0314189168970935,356.85800373191034,-22.710174344240098,3771036969012.331,41.72449147091583,3.661613133500322,Q,True,0.8,0.6666666666666666,0.2,0.16666666666666666,0.0,0.16666666666666666,12.904343855878148,416.5655734600989
5285,44030376592.204926,127908183758.13084,0.3442342413012804,0.034505151166666664,0.25601699999999994,6,173.188577083,25.049057228,173.31967356244994,25.140707144306525,10.3061613641746,0.8731588109014435,-47.41367749439413,6.679101716144942e-13,99.97952478405165,0.47423387535402695,469.38606967311415,-23.08724583045572,7699966879006.732,60.19917297525743,4.164307088869721,M,True,0.8,0.8333333333333334,0.0,0.0,0.2,0.16666666666666666,12.88569558542618,411.3793274809604
5291,43233659717.58643,100012512866.4554,0.43228250624314807,0.021634246166666666,0.5618790000000011,6,199.494399558,4.403410906,199.4980506320996,4.536357169995285,9.76599462634542,0.8170970159508959,37.89883289003412,1.7104836066058246e-13,167.39587790533682,0.22640242617841477,276.23882472390113,-22.820135848222286,15604835312177.82,156.02882944271812,1.4637387765824346,Q,False,0.4,0.3333333333333333,0.2,0.16666666666666666,0.2,0.3333333333333333,12.872085719773096,408.7692360745595
5301,47094479355.94826,91325895135.32866,0.515674982283641,0.036298418000000006,0.8799269999999986,6,238.023615753,20.145229339,237.93286867371378,20.216692059011976,9.12607935393924,0.7309855954177416,90.38830176494974,-1.6754005590276695e-12,90.87295393586835,0.9946667060998263,437.8138710618509,-22.721484844159754,6978025385694.195,76.40796047335762,4.273448664449987,Q,True,0.6,0.5,0.0,0.0,0.4,0.5,12.857056316046366,402.2048579378256
5303,45265445601.13074,81470699314.8263,0.5556039899229537,0.0236584915,0.9799199999999999,6,181.313566778,21.214459713,181.3159006285635,21.212967141877314,10.446497787172172,0.015154107939545327,-12.969031590202619,1.7053025658242404e-13,171.76523063696595,0.07550440529849407,323.62185628351614,-22.59750361038096,15350116208179.055,188.4127218407906,1.6711914597557767,Q,False,0.6,0.5,0.0,0.0,0.2,0.3333333333333333,12.8552870475062,403.27510084218505
5304,71756756533.62027,97671365966.14847,0.7346754683300954,0.0273375535,2.3483030000000014,6,129.367594615,24.946720354,129.39751602097468,24.99109269935895,13.128222273611232,0.23768507741086636,-126.80774930438955,-4.736951571734001e-15,194.27915783446426,0.6527089715533779,471.22528931010476,-22.79441815378073,25151087880233.688,257.50728098704695,2.151423942110149,Q,True,0.4,0.3333333333333333,0.2,0.16666666666666666,0.4,0.5,12.85522872942541,402.78811172455175
