source_specobjid,source_objid,plate,mjd,fiberid,run2d,scienceprimary,extra_specobjid,source_sfr,source_specsfr,source_lgm,info_specobjid,sn_median,reliable,n_spectra_for_objid
367196241592870912,1237650371552346155,326,52375,556,26,1,367196241592870912,-1.280555,-12.48838,11.15656,367196241592870912,39.43212,1,1
385088582836054016,1237648704600670569,342,51691,112,26,1,385088582836054016,-1.396872,-11.4127,9.965176,385088582836054016,32.43047,1,1
385206505458132992,1237648704600670761,342,51691,541,26,1,385206505458132992,-1.487584,-12.55833,11.03549,385206505458132992,43.37262,1,1
385208979359295488,1237648721792729305,342,51691,550,26,1,385208979359295488,-2.168247,-12.11146,9.901848,385208979359295488,27.91112,1,1
385209254237202432,1237648721792729473,342,51691,551,26,1,385209254237202432,-1.435753,-11.36031,9.848671,385209254237202432,37.53835,1,1
385222723254642688,1237648704600735996,342,51691,600,26,1,385222723254642688,-1.267909,-12.42252,11.11632,385222723254642688,50.59671,1,1
408841887286323200,1237648705135772257,363,51989,510,26,1,408841887286323200,-1.61763,-12.35404,10.66006,408841887286323200,35.7519,1,2
408848759233996800,1237651818952982852,363,51989,535,26,1,408848759233996800,-1.477195,-12.26716,10.72654,408848759233996800,43.63001,1,2
486543547625924608,1237673705041691045,432,51884,563,26,1,486543547625924608,0.1802246,-10.54053,10.6603,486543547625924608,21.10287,1,1
486547121038714880,1237673705041756411,432,51884,576,26,1,486547121038714880,-0.5613416,-10.31757,9.715945,486547121038714880,11.93491,1,1
486547670794528768,1237651495755579693,432,51884,578,26,1,486547670794528768,-0.9934924,-11.82921,10.79237,486547670794528768,40.34024,1,1
486553992986388480,1237673705041756259,432,51884,601,26,1,486553992986388480,-1.27049,-12.436,11.09286,486553992986388480,45.36683,1,1
487680442464495616,1237653589017362552,433,51873,603,26,1,487680442464495616,-0.9665924,-11.95895,10.95201,487680442464495616,39.94245,1,1
488674126299424768,1237651272418132006,434,51885,122,26,1,488674126299424768,-1.500952,-12.15432,10.62678,488674126299424768,55.03759,1,1
488675500688959488,1237673705578758181,434,51885,127,26,1,488675500688959488,-1.443886,-12.60213,11.09334,488675500688959488,68.94563,1,1
488676325322680320,1237673705578758555,434,51885,130,26,1,488676325322680320,-0.7507102,-10.66232,9.857841,488676325322680320,20.60837,1,1
488729101880813568,1237651496830501214,434,51885,322,26,1,488729101880813568,-1.494947,-11.62549,10.08997,488729101880813568,38.58429,1,1
488730201392441344,1237651496830238876,434,51885,326,26,1,488730201392441344,-1.432092,-12.80221,11.27564,488730201392441344,66.30166,1,1
488732400415696896,1237651496830239120,434,51885,334,26,1,488732400415696896,-1.579959,-12.729,11.09221,488732400415696896,60.78143,1,1
488732950171510784,1237651496830370024,434,51885,336,26,1,488732950171510784,0.09478667,-10.50806,10.5614,488732950171510784,36.22731,1,1
488739822119184384,1237651496830501270,434,51885,361,26,1,488739822119184384,0.2900581,-10.32478,10.56013,488739822119184384,47.28717,1,1
488743395531974656,1237651496830631972,434,51885,374,26,1,488743395531974656,-1.245462,-11.81895,10.52201,488743395531974656,48.65091,1,1
488746968944764928,1237651496830173526,434,51885,387,26,1,488746968944764928,-0.5329866,-10.3484,9.769549,488746968944764928,27.46112,1,1
488751641869182976,1237651496830501001,434,51885,404,26,1,488751641869182976,-1.004473,-12.28716,11.20775,488751641869182976,70.29643,1,1
489793703964076032,1237653589017493521,435,51882,99,26,1,489793703964076032,0.7006474,-10.27867,10.92284,489793703964076032,45.02441,1,1
492032859293378560,1237673705043198070,437,51876,53,26,1,492032859293378560,-1.257363,-12.61101,11.30896,492032859293378560,49.50091,1,2
492041105630586880,1237651190815719555,437,51876,83,26,1,492041105630586880,-1.418669,-12.47176,10.98494,492041105630586880,48.20324,1,2
492043304653842432,1237651190815719626,437,51876,91,26,1,492043304653842432,-1.135387,-11.33333,10.13641,492043304653842432,34.70455,1,2
492045228799191040,1237651190815719612,437,51876,98,26,1,492045228799191040,-1.254905,-11.80244,10.49914,492045228799191040,46.55023,1,2
494435292216846336,1237651191354556696,439,51877,601,26,1,494435292216846336,-0.2498952,-9.811563,9.505301,494435292216846336,12.29461,1,1
494435841972660224,1237651250945523962,439,51877,603,26,1,494435841972660224,-0.3401631,-10.69873,10.30894,494435841972660224,21.60366,1,2
496593908269082624,1237651250945589326,441,51868,262,26,1,496593908269082624,-1.067401,-12.07828,10.96404,496593908269082624,36.0588,1,1
496595282658617344,1237651250945589502,441,51868,267,26,1,496595282658617344,-0.1217403,-10.22648,10.04909,496595282658617344,10.73007,1,1
496595832414431232,1237651250945589513,441,51868,269,26,1,496595832414431232,-1.734281,-11.67798,9.865484,496595832414431232,17.41338,1,1
496596107292338176,1237651250945589506,441,51868,270,26,1,496596107292338176,-1.475106,-12.39936,10.88368,496596107292338176,41.59685,1,1
499938622892435456,1237651272424161371,444,51883,142,26,1,499938622892435456,-0.7597142,-11.94086,11.12329,499938622892435456,31.236,1,1
500037578938935296,1237651272424226960,444,51883,502,26,1,500037578938935296,0.2786953,-10.81983,11.05348,500037578938935296,34.39334,1,1
500038678450563072,1237651272424226940,444,51883,506,26,1,500038678450563072,-1.389044,-12.29914,10.82945,500038678450563072,37.30751,1,1
500051597712189440,1237651272424226981,444,51883,553,26,1,500051597712189440,-0.7194754,-12.15843,11.39764,500051597712189440,35.52821,1,1
500065341607536640,1237651272424685655,444,51883,603,26,1,500065341607536640,0.1492126,-10.80447,10.89995,500065341607536640,26.77396,1,1
500066990874978304,1237651272961556647,444,51883,609,26,1,500066990874978304,-0.3253442,-10.21525,9.841798,500066990874978304,11.82011,1,1
500071114043582464,1237651271887618101,444,51883,624,26,1,500071114043582464,-1.301104,-12.18172,10.82927,500071114043582464,34.62148,1,1
500074137700558848,1237651533872496832,444,51883,635,26,1,500074137700558848,-0.264861,-9.951622,9.640424,500074137700558848,9.010636,1,1
500074962334279680,1237651533872496853,444,51883,638,26,1,500074962334279680,-1.367166,-12.35773,10.94254,500074962334279680,34.98672,1,1
500075512090093568,1237651271887618204,444,51883,640,26,1,500075512090093568,-0.5972809,-10.37365,9.714207,500075512090093568,9.566511,1,1
502209939305949184,1237651272424751161,446,51899,213,26,1,502209939305949184,-1.151971,-11.87043,10.68678,502209939305949184,55.40467,1,1
502212138329204736,1237651272424882309,446,51899,221,26,1,502212138329204736,-0.2375,-10.83493,10.55116,502212138329204736,21.61156,1,1
502229455637342208,1237651272961490952,446,51899,284,26,1,502229455637342208,-1.31894,-11.80738,10.45058,502229455637342208,30.92883,1,1
502231104904783872,1237651272961425646,446,51899,290,26,1,502231104904783872,-0.8797101,-10.5708,9.63608,502231104904783872,11.50434,1,1
502233303928039424,1237651272961490958,446,51899,298,26,1,502233303928039424,-1.483849,-12.44624,10.91903,502233303928039424,53.80155,1,1
502237152218736640,1237651534946304186,446,51899,312,26,1,502237152218736640,-0.3484992,-9.607543,9.214596,502237152218736640,21.79229,1,1
502245398555944960,1237651274035363888,446,51899,342,26,1,502245398555944960,-1.341531,-12.57227,11.20951,502245398555944960,53.4511,1,1
502247872457107456,1237663529186623648,446,51899,351,26,1,502247872457107456,-1.773987,-11.84381,10.00629,502247872457107456,29.37727,1,1
502248697090828288,1237651274035363852,446,51899,354,26,1,502248697090828288,-1.329827,-12.01919,10.65456,502248697090828288,50.09695,1,1
502258867573385216,1237651273498558617,446,51899,391,26,1,502258867573385216,-1.742359,-12.52252,10.77909,502258867573385216,37.22662,1,1
502260791718733824,1237651535483437209,446,51899,398,26,1,502260791718733824,-0.4371931,-11.44459,10.94931,502260791718733824,35.84124,1,1
502297900236171264,1237651272962211932,446,51899,533,26,1,502297900236171264,-1.624726,-12.24345,10.55095,502297900236171264,49.00224,1,1
502298449991985152,1237651272962211930,446,51899,535,26,1,502298449991985152,-1.248769,-12.39696,11.09967,502298449991985152,65.1463,1,1
502298999747799040,1237651272962277451,446,51899,537,26,1,502298999747799040,-2.033855,-12.08414,9.999923,502298999747799040,20.31752,1,1
502299274625705984,1237660936090681416,446,51899,538,26,1,502299274625705984,-1.387984,-11.87614,10.45256,502299274625705984,55.03687,1,1
502299549503612928,1237651272962212132,446,51899,539,26,1,502299549503612928,-1.19842,-11.73073,10.48272,502299549503612928,47.59447,1,1
502318790957099008,1237651272425668786,446,51899,609,26,1,502318790957099008,-1.671221,-12.03474,10.32467,502318790957099008,39.164,1,1
503368549314619392,1237651192431902942,447,51877,332,26,1,503368549314619392,-1.788836,-12.3005,10.45439,503368549314619392,26.80732,1,1
503368824192526336,1237651192431902873,447,51877,333,26,1,503368824192526336,-1.268743,-12.92637,11.56605,503368824192526336,41.07203,1,1
503369373948340224,1237651192431902951,447,51877,335,26,1,503369373948340224,-0.1130434,-9.888668,9.72223,503369373948340224,13.51462,1,1
503370198582061056,1237651192431902934,447,51877,338,26,1,503370198582061056,-0.5900373,-11.39216,10.74845,503370198582061056,17.87079,1,1
503422150506473472,1237651252023525473,447,51877,527,26,1,503422150506473472,-0.6481031,-11.51167,10.81207,503422150506473472,37.92746,1,1
504415559648045056,1237651192433279182,448,51900,45,26,1,504415559648045056,-0.3010956,-10.03483,9.693874,504415559648045056,13.75482,1,1
504416659159672832,1237651192433279109,448,51900,49,26,1,504416659159672832,-1.294837,-11.76075,10.43038,504416659159672832,36.45397,1,1
504419682816649216,1237651192433344532,448,51900,60,26,1,504419682816649216,-1.399724,-12.56941,11.10474,504419682816649216,43.32597,1,1
504466412060829696,1237651272425734249,448,51900,230,26,1,504466412060829696,-1.376665,-12.08081,10.65296,504466412060829696,42.07674,1,1
504469985473619968,1237651272425668776,448,51900,243,26,1,504469985473619968,-1.617665,-11.82569,10.12949,504469985473619968,27.47718,1,1
504473009130596352,1237651272425734156,448,51900,254,26,1,504473009130596352,-1.338994,-12.58283,11.21834,504473009130596352,45.74643,1,1
504482080101525504,1237651272962277503,448,51900,287,26,1,504482080101525504,-0.6808659,-11.45891,10.74185,504482080101525504,35.13444,1,1
504494724485244928,1237651274036871362,448,51900,333,26,1,504494724485244928,-0.5005944,-10.3868,9.840331,504494724485244928,19.32721,1,4
504504070334081024,1237651274036871286,448,51900,367,26,1,504504070334081024,-1.40578,-11.99792,10.56352,504504070334081024,37.97971,1,4
504507093991057408,1237651274036871310,448,51900,378,26,1,504507093991057408,-1.441152,-12.16771,10.66639,504507093991057408,33.20359,1,1
505541734432794624,1237653614794244234,449,51900,46,26,1,505541734432794624,-1.163353,-11.51667,10.28007,505541734432794624,24.87054,1,1
505552179793258496,1237653614794178781,449,51900,84,26,1,505552179793258496,-0.007142816,-9.753077,9.695634,505552179793258496,16.13424,1,1
505557127595583488,1237651190285402240,449,51900,102,26,1,505557127595583488,-1.305898,-12.15301,10.80628,505557127595583488,40.26189,1,1
505604406595577856,1237651191895752745,449,51900,274,26,1,505604406595577856,-1.252072,-12.68441,11.35979,505604406595577856,45.60429,1,1
