Id,objid,specobjid,Group,RA,Dec,M_r,z,zobs,Yang_z_CMB_group,BGG_ID,Yang_logM,logM_180,rmag,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm_tot_p50,sfr_tot_p50,sSFR,SFRexcess,SFRcategory,rank_dist
428233,1237667253461254252,2578353455273895936,715,140.721087079,21.975184008,-22.620668,0.034841959,0.033885296,0.03485,428233,11.233,13.619770306132937,13.242072,83227567183.32278,1,140.721087079,21.975184008,-22.620668,0.0,11.12223,-1.054555,-12.176785,-0.9901160000000004,Q,1
428243,1237667253472329735,2491670708409624576,871,167.693621199,28.263899294,-19.582903,0.034835954,0.033830706,0.03601,460081,9.998,13.642770306132936,16.454282,5071789263.502704,12,167.660141442,28.316810751,-22.444696,3.8057342347078125,9.848176,-1.227913,-11.076089,-0.27163619999999966,G,4
428244,1237667253472395410,2491656139880556544,27,167.982109464,28.316137956,-18.344421,0.033093536,0.03208898,0.03297,471176,9.289,13.976770306132936,17.689962,1620945451.1355398,94,167.661523674,28.768887329,-22.65247,33.501370950397714,9.103532,-1.2536,-10.357132,0.22392759999999967,G,92
428271,1237665532781854796,2527814411373012992,2535,204.691513565,26.796840619,-17.914614,0.030353774,0.029553961,0.02947,470632,9.288,13.107770306132936,17.726923,1091052377.4882786,9,204.60443034,26.74247202,-22.107651,5.961087888289232,9.147794,-1.582044,-10.729837999999999,-0.13549979999999984,G,5
428277,1237665532785066181,2396004125956401152,1090,212.771384447,25.482765528,-20.280526,0.030153416,0.029443396,0.03231,408091,9.942,13.840770306132937,15.527786,9642960771.212713,5,212.768870919,25.697965997,-22.690717,13.522194459385858,9.777858,-0.0973803,-9.8752383,0.9081191000000004,M,10
428292,1237665532796993830,2472602698554304512,243,240.697340911,17.182385264,-19.155755,0.034504162,0.03421347,0.03416,398225,9.857,13.635770306132937,16.836722,3422173311.1916094,16,240.883682193,17.198696271,-22.632648,11.231984009188775,9.817762,-1.94675,-11.764512,-0.9691834000000004,Q,19
428306,1237665533324492861,2408371983810062336,2857,219.233406492,24.558162419,-20.219867,0.034856137,0.034232076,0.03613,385890,9.709,13.773770306132937,15.804332,9118991271.25917,4,218.940580173,24.725796222,-22.707351,19.76374233929553,9.530614,0.02490431,-9.50570969,1.2034745099999995,M,8
428311,1237665533334126989,2475871546992781312,61,241.47507735,17.340943089,-20.153873,0.034565833,0.034291014,0.03493,419620,9.941,13.820770306132935,15.875442,8581223234.800135,26,241.149144579,17.721559028,-22.646753,30.874742958211595,9.830872,-0.1952498,-10.026121799999999,0.7731398000000009,M,64
428322,1237667783918026891,3117781020108154880,3157,208.52853615,21.764416378,-18.783935,0.028444034,0.027645275,0.02858,512220,9.656,12.909770306132936,16.785469,2429819426.8330426,6,208.61171533,21.829993055,-21.816989,6.365927778631905,9.529728,-1.433463,-10.963191,-0.2542726000000002,G,6
428323,1237667783918092392,3117791740346525696,3157,208.650953796,21.79025336,-19.615394,0.028359654,0.027562708,0.02858,512220,9.751,12.909770306132936,15.95421,5225857944.001075,4,208.61171533,21.829993055,-21.816989,3.3873143603344116,9.538691,-0.3910622,-9.9297532,0.7818540999999986,M,2
428356,1237667910601998490,3001650047243806720,312,206.76528516,22.759217822,-20.478313,0.030061757,0.029249031,0.03074,499791,10.41,13.798770306132937,15.074378,11569782640.146389,8,206.317352546,23.218962412,-22.619914,38.80355200032025,10.32182,-1.388844,-11.710664000000001,-0.7641180000000016,Q,28
428431,1237667253995503820,2569337184310028288,2499,134.466114531,20.062917128,-19.103076,0.030903388,0.029991178,0.03174,472737,9.423,13.249770306132936,16.738955,3260096083.1767097,6,134.469556322,20.122523475,-22.18794,3.7506798139353363,9.241965,-0.3971592,-9.639124200000001,0.9834652999999989,M,4
428432,1237667253995569192,2569329487728633856,2499,134.656424861,20.192101581,-21.07053,0.03083587,0.029922709,0.03174,472737,10.681,13.249770306132936,14.736854,19962365361.19384,2,134.469556322,20.122523475,-22.18794,11.857467580632331,10.62352,-1.706113,-12.329633,-1.2925769999999996,Q,9
428433,1237667253998321822,6501023953254543360,5500,141.008237179,22.333736986,-21.012524,0.031002909,0.03004716,0.03071,428433,10.638,12.415770306132936,14.825664,18923854490.164864,2,140.858121039,22.316667138,-21.841698,8.79074542234087,,,,,X,6
428438,1237667253999763471,2585153934825908224,3730,144.304175816,23.582216418,-18.518972,0.026574991,0.025604619,0.02606,434680,9.563,13.532770306132937,16.851734,1903657437.776771,5,144.313311822,23.590608738,-22.512283,0.7448534994573964,9.360646,-1.959069,-11.319714999999999,-0.6615211999999993,Q,2
428583,1237665549962510527,2396005775223842816,1090,212.925812613,25.306053321,-18.589079,0.031188501,0.030479053,0.03231,408091,9.122,13.840770306132937,17.162522,2030633749.682825,10,212.768870919,25.697965997,-22.690717,26.18365385280925,8.906453,-0.5959396,-9.5023926,1.0195432999999987,M,13
