Group,Lum_BGG,Lum_group,FracLumBGG,z_group,DeltaR12,NbGal,RA_BGG,Dec_BGG,RA_Bary,Dec_Bary,Radius_Bary_arcmin,Offset_Bary,V_BGG,V_moy,Vdisp,Voffset,size_Group_Bary_kpc,M_group,M_virial,M_virial_over_L,t_cr,BGG_SFRcategory,all_SFR,Prop_M_Sat,Prop_M_Tot,Prop_G_Sat,Prop_G_Tot,Prop_Q_Sat,Prop_Q_Tot,Misfit_Bary,Vmisfit,lMass_200,r_200_kpc
1143,44343462356.37554,70360788245.04819,0.6302297552713435,0.02569158925,0.7188619999999979,4,128.378213287,41.525452866,128.3665923574813,41.45350642840918,5.9261466386667685,0.7337429857824299,-106.81790491126903,-5.329070518200751e-15,70.77081277461416,1.509349698320621,199.66316251134896,-22.438326740428497,1883187625587.4666,26.764731785391852,2.502461370785523,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,BMisfit,VMisfit,12.955206244439461,435.16605821672954
1145,43634539804.293076,98430855116.43997,0.4433014399059631,0.0417017675,0.38873099999999994,4,132.437019362,57.156430741,132.46112576743275,57.129647382420586,1.5382521050741695,1.1625955456642738,-96.485263146842,-4.973799150320701e-13,122.90610653364023,0.7850322971579353,85.11434815714917,-22.802828145120728,1415443590448.6313,14.380080197151749,0.6142609911308795,Q,True,0.3333333333333333,0.25,0.0,0.0,0.6666666666666666,0.75,BMisfit,VMisfit,12.936144859301564,426.66147490283896
1259,73786413275.87631,134677327319.15067,0.5478755388501397,0.033336909,0.3874460000000006,4,199.568348076,53.965205909,199.6174172004934,54.046159989067135,5.798264598618626,0.8892715835281554,43.666361138405534,5.009326287108706e-13,82.44604827791821,0.5296355865500025,254.91869284812273,-23.14323622299405,3513169961107.8125,26.085830711375067,2.7425557110278795,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,BMisfit,VMisfit,13.552905965306767,686.8051309001794
1264,70825948614.7514,95883305681.09636,0.7386681978854106,0.03591192925,1.6848519999999994,4,166.923745382,13.025669372,166.90177569502063,13.049605449230738,4.843991159044098,0.39772741798010747,66.6726668099133,-4.916067553040193e-13,214.0725565269217,0.311448921298462,229.84619167453664,-22.77435749598412,16862812305702.56,175.8680740710748,0.9523573470739345,G,True,0.0,0.0,0.3333333333333333,0.5,0.6666666666666666,0.5,BMisfit,VCentered,13.495225993396085,656.5228438411414
1265,73612234339.9267,101107177509.71352,0.7280614111975845,0.03746544225,1.3819920000000003,4,214.81910937,26.298597244,214.82019531865313,26.29432263546806,2.9705177136898384,0.08855173355272566,-9.545493093005225,-5.044853423896711e-13,111.03880194592301,0.08596538260250206,147.21416348952053,-22.8319549671728,3031927303064.216,29.987260823030432,1.175975971703999,M,True,0.6666666666666666,0.75,0.3333333333333333,0.25,0.0,0.0,BCentered,VCentered,13.487613724746721,652.3739163808423
1266,88217104687.93507,104373382826.70914,0.845206912900406,0.03407092975,2.735800000000001,4,157.113833184,12.704050192,157.14437049187188,12.651158410551588,6.90643422435906,0.5273817661994673,-173.28547738142393,-7.105427357601002e-15,218.12178697461144,0.7944436903113842,310.4912509277979,-22.86647439883687,21659007870694.15,207.51466785985605,1.2626237084927832,X,False,0.6666666666666666,0.5,0.3333333333333333,0.25,0.0,0.0,BMisfit,VMisfit,13.466327386134068,642.4988025628774
1270,74518138934.36668,86591220601.32152,0.8605738366647926,0.042611366750000004,2.817573999999997,4,149.12760587,35.91491678,149.1437774345781,35.91995711251909,3.38119348406577,0.24902163599499236,-16.324435751141728,-9.956480084838404e-13,200.61393577747376,0.08137239164306226,191.29414637798223,-22.663684653897747,13989155184568.818,161.55396687358075,0.8457932255787126,Q,True,0.0,0.0,0.0,0.0,1.0,1.0,BCentered,VCentered,13.418526553787267,617.6611568111425
1272,75110594598.13466,86731545274.71997,0.8660124105966722,0.026687343000000002,2.6799660000000003,4,182.690365592,19.040834897,182.69071160470847,19.054476516114047,3.1980197350268913,0.2560122927547027,-212.10161784589977,-5.044853423896711e-13,228.01649916309867,0.9302029398064935,112.00590028558071,-22.66544271044442,10412547828173.088,120.05490960862748,0.4357107223291164,Q,True,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,BCentered,VMisfit,13.395066519155087,609.730876165364
1274,64496775093.8156,75148231550.99107,0.8582607170210248,0.0346146745,2.5080070000000028,4,156.728308174,16.123367449,156.72658168096416,16.111334451815267,2.53805376490049,0.28715166288803956,20.30582640406521,5.044853423896711e-13,83.81429339040403,0.24227164106104052,115.96986269037978,-22.509796912184797,1163781802486.4905,15.48648289476803,1.227299832108875,Q,True,0.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.5,BCentered,VCentered,13.385610822551788,603.7976672538437
1275,79878003238.93848,106830546506.94728,0.7477075223400074,0.03804663975,1.8287359999999993,4,181.638484921,39.237665409,181.59114635823374,39.25666893489347,10.518508530445597,0.2355438449288327,-180.682904422144,4.973799150320701e-13,254.79573236087097,0.7091284565403968,529.5909943979626,-22.891738625237913,29887858334212.8,279.768842446848,1.8436227627458175,M,True,0.3333333333333333,0.5,0.0,0.0,0.6666666666666666,0.5,BCentered,VMisfit,13.361560662028463,592.1041038936041
