objid,specObjID,dr7objid,petroR50_r,petroR50Err_r,petroR90_r,petroR90Err_r,petroRad_r,psfWidth_r
1237664130481651942,1969212187528423424,587738409256747193,4.066382,0.04613376,9.718028,0.4246838,8.249547,1.342807
1237665016314658947,11557367084595040256,,9.368984,0.04077761,23.41851,0.2455305,21.04642,1.339826
1237664819818987566,5208416362331131904,,6.190899,0.4861939,22.49928,2.910189,17.15796,1.473023
1237664817673994368,2265438489396930560,587739096449089665,2.879565,0.6122116,9.491185,-1000.0,6.57247,1.607367
1237664668981330034,2224799713457104896,587738947756425349,2.145774,0.02251298,7.040245,0.1551386,4.974729,1.238974
1237665024374866361,2374650505063327744,587739303149961620,5.287407,0.09807611,10.95357,0.5034553,11.38479,1.260596
1237665024374866095,2374643633115654144,587739303149961255,8.894587,0.02788505,17.99446,0.134726,18.26014,1.260596
1237665024374865968,2374651054819141632,587739303149961304,7.722635,0.3291084,18.77548,3.095469,15.66922,1.260596
1237665016314593292,11555263718045798400,,16.00332,1.307427,39.32775,7.870109,37.0297,1.324858
1237665015240589399,2364462434430773248,587739294015684686,1.539207,0.01313634,4.160454,0.1030422,3.388859,1.467437
1237664854189539556,2081958866823702528,587739132964634866,2.018938,0.02439091,5.240537,0.183114,4.382489,1.1122
1237664818753831142,2276735976975919104,587739097528926379,4.402068,0.03749538,10.00079,0.2958334,9.044188,1.455227
1237664817674125413,2265447010612045824,587739096449220729,2.456464,0.02766492,5.932401,0.1851189,5.38575,1.53535
1237664817674060121,2265446185978324992,587739096449155346,4.389987,0.06823874,8.942122,0.3986025,9.180285,1.585431
1237664817674059896,2265447560367859712,587739096449155236,8.711883,0.1567351,26.03779,1.104256,20.2098,1.585431
1237664668981264486,2224799163701291008,587738947756359754,2.142261,0.008736232,6.839333,0.04805749,5.703387,1.212182
1237664887463411913,2086332719381374976,587739166238507193,4.940622,0.03841946,10.77752,0.2421764,10.5231,1.566394
1237664871361019935,1793575919089117184,588016891170848771,7.91813,0.02582658,18.70643,0.1845877,16.82307,1.198871
1237664854189474090,2081958591945795584,587739132964569367,2.288902,0.01517288,5.552189,0.09490883,5.174129,1.117145
1237664854189473891,2081956667800446976,587739132964569195,6.126067,0.05416517,18.66015,0.3965741,13.35554,1.117145
1237664846121730104,2287957867325581312,587739099141701675,2.623704,0.03285865,7.004871,0.2419756,5.862607,1.194027
1237664852044415211,2446704532500015104,587739407877734591,8.355291,0.0412898,17.22808,0.2180784,17.12079,1.285306
1237664853116715184,2082962994811136000,587739131891810508,1.867896,0.2018764,4.055414,-1000.0,4.110848,1.071948
1237664853116780599,2082957222375090176,587739131891875910,11.90236,0.03971378,26.65938,0.2820416,24.64173,1.16926
1237664853641461771,2288989203544958976,587739132416557077,3.660177,0.07636506,12.2727,0.4914985,8.705942,1.220977
1237664853641461874,2288979307940308992,587739132416557356,2.975327,0.2251219,8.836551,1.763091,6.428541,1.220977
1237664853641462227,2288992227201935360,587739132416557289,5.196867,0.09772025,10.48356,0.3259049,11.9766,1.220977
1237664853651619889,2080694434055350272,587739132426715205,4.114065,0.4367456,13.03751,3.150131,9.979047,0.9593835
1237664853651685435,2080681789671630848,587739132426780745,2.720286,0.1342427,9.483043,0.7872568,6.659756,0.9379596
1237664853653127479,2083016046247176192,587739132428222814,2.929214,0.04142554,7.784512,0.2972429,6.522814,1.040699
1237664853653127598,2083029790142523392,587739132428222915,1.744593,0.01243726,4.915035,0.09570848,3.914179,1.040699
1237664854183313713,2074072064129525760,587739132958408966,4.611466,0.04216396,11.161,0.2357679,10.75765,1.295704
1237664878341062790,2191035910911453184,587739157116158102,5.190184,0.07182959,12.3472,0.4147463,11.80959,1.281923
1237665025446510745,2356609999024711680,587739304221606039,2.608994,0.0370434,6.690464,0.231802,5.977831,1.470786
1237665026510815411,2379097204963960832,587739296700563630,3.34461,0.02351212,8.4104,0.1638447,7.342007,1.325459
1237665026510880997,2379095280818612224,587739296700629051,1.783697,0.0375524,5.686535,0.2741298,4.08664,1.32964
1237664670045765663,1606717491445262336,588016890638172175,3.126364,0.04777921,10.5607,0.311034,7.547374,1.553416
1237664836462248240,2169660303493588992,587739115237343496,6.261331,0.1699004,18.79974,1.276042,14.08801,1.220446
1237664853105377484,2069433224001513472,587739131880472774,2.37054,0.07697085,6.87055,0.5740504,5.390439,1.189432
1237664854716514359,1849930840365099008,588017977291964494,8.575671,0.08725888,26.30128,0.5942996,20.14265,1.461934
1237664869753487485,2194379525788297216,587739408380264596,6.509157,0.05554358,12.67931,0.2652281,14.22396,1.440879
1237664874580672554,2169658929104054272,587739153355767844,1.29111,0.01941351,2.34962,0.07618796,2.541073,1.571206
1237664887463346414,2086331344991840256,587739166238441695,5.573901,0.08268321,16.03178,0.6703708,11.73515,1.772895
1237665023837995013,2374631813365655552,587739302613090309,3.788551,0.02225469,12.0203,0.1530612,9.028036,1.307197
1237665024909312194,2258720473066006528,587739303684407495,6.767975,0.05381989,17.44068,0.3650818,15.25668,1.386287
1237665024910229511,2277753025634265088,587739303685324813,5.706522,0.05064102,19.79795,0.305791,14.41676,1.424713
1237665025436680199,2364481675884259328,587739295626363041,6.876731,0.03655029,17.63326,0.1516908,17.3291,1.292964
1237665025436680514,5205056254360440832,,7.393209,0.2436422,23.80649,1.615961,18.21152,1.292964
1237665025436811410,2376795652232341504,587739295626559628,4.292443,0.05467007,10.11097,0.3152273,9.61672,1.245037
1237664668437250202,2249586829252651008,587738947212345425,6.591668,0.02030656,17.03109,0.1130892,15.58849,1.286
1237664668438102203,2259721303491635200,587738947213197363,6.417672,0.01850942,13.70293,0.1032989,13.49606,1.271925
1237664671645171858,2244054916895107072,587738950420267121,6.789188,0.1243657,19.59764,0.8951185,15.74041,1.454252
