product,control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,objid,sample,group_uid,role,lgm,z,ff_miles_lw_logz,predicted_control_logz,delta_logz,gallazzi_logz_solar
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662302453039177,CG4,HMCG:405,BGG,11.1572,0.031034558,0.09986115685840526,0.1875347686463376,-0.08767361178793236,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667444048723983,Control4C,Lim:1,BGG,11.49787,0.022387201,0.3003078152646575,0.2276494031578012,0.07265841210685631,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665531723317438,Control4C,Lim:3,BGG,11.52926,0.03863988,0.24319337424724807,0.23134564402818847,0.011847730219059605,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237668293912690766,Control4C,Lim:5,BGG,11.31682,0.021880621,0.3003078152646575,0.2063303713137865,0.09397744395087099,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237654879665586207,Control4C,Lim:13,BGG,7.774354,0.028099228,0.21243398995807833,-0.21080271601202966,0.423236705970108,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667915955568662,Control4C,Lim:33,BGG,11.12697,0.022124599,0.3003078152646575,0.18397512030254004,0.11633269496211746,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237658612519141389,Control4C,Lim:37,BGG,11.35576,0.034017625,0.3003078152646575,0.2109156411287875,0.08939217413587,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237663789031948359,Control4C,Lim:39,BGG,11.27267,0.027392906,0.210659559924703,0.201131612650913,0.00952794727379,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237655742947262470,Control4C,Lim:40,BGG,11.50922,0.03705749,0.2855971362609545,0.2289858903791739,0.0566112458817806,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667429563105338,Control4C,Lim:46,BGG,11.54672,0.040223869,0.3003078152646575,0.23340159705771896,0.06690621820693854,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237655743485575197,Control4C,Lim:50,BGG,11.4026,0.039362618,0.17548977917257252,0.21643115315073522,-0.04094137397816269,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665534931894336,Control4C,Lim:51,BGG,11.29295,0.037169654,0.13721892725478624,0.20351962682267,-0.06630069956788376,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665428645740684,Control4C,Lim:61,BGG,11.32563,0.035367166,0.3003078152646575,0.20736776800279935,0.09294004726185814,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661418212294705,Control4C,Lim:70,BGG,11.56045,0.042431399,0.3003078152646575,0.23501833446295672,0.06528948080170077,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667537465704593,Control4C,Lim:71,BGG,11.4221,0.029603502,0.25779277210434204,0.21872732062357864,0.0390654514807634,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667430630096945,Control4C,Lim:78,BGG,11.31101,0.028624486,0.3003078152646575,0.20564623115905722,0.09466158410560027,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662197748006965,Control4C,Lim:79,BGG,11.36224,0.044723463,0.27037041250145794,0.21167867524284004,0.0586917372586179,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662303519899658,Control4C,Lim:85,BGG,11.23959,0.029953325,0.23148870508405484,0.19723637059954596,0.03425233448450887,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662262169174083,Control4C,Lim:94,BGG,11.45737,0.025410456,0.3003078152646575,0.22288043994497256,0.07742737531968494,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664289935261729,Control4C,Lim:95,BGG,11.34219,0.023918224,0.18878060169439917,0.2093177440720448,-0.020537142377645617,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661465457590279,Control4C,Lim:96,BGG,11.47355,0.036095416,0.210659559924703,0.22478567018654208,-0.014126110261839075,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665016314593291,Control4C,Lim:99,BGG,11.51515,0.043584674,0.17548977917257252,0.2296841607952746,-0.05419438162270207,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237654654171938965,Control4C,Lim:102,BGG,11.61971,0.041382305,0.17548977917257252,0.24199632853683856,-0.06650654936426603,
