control,index,specification,n,n_CG4,n_clusters,beta_CG4,cluster_se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
RG4,Fe5270,Claude-like,327,168,118,-0.0652886136246117,0.09455657332579813,-0.15984518695040983,0.029267959701186425,-0.250619497343176,0.12004227009395262
RG4,Fe5270,"Claude-like, mass-complete",327,168,118,-0.0652886136246117,0.09455657332579813,-0.15984518695040983,0.029267959701186425,-0.250619497343176,0.12004227009395262
RG4,Fe5270,+ stellar mass,327,168,118,-0.08220382270002172,0.08971975169082756,-0.17192357439084927,0.007515928990805845,-0.2580545360140437,0.0936468906140003
RG4,Fe5335,Claude-like,327,168,118,0.12102393408116582,0.1435281776068869,-0.022504243525721085,0.2645521116880527,-0.1602912940283325,0.4023391621906641
RG4,Fe5335,"Claude-like, mass-complete",327,168,118,0.12102393408116582,0.1435281776068869,-0.022504243525721085,0.2645521116880527,-0.1602912940283325,0.4023391621906641
RG4,Fe5335,+ stellar mass,327,168,118,0.10728150688159907,0.13906718325186515,-0.03178567637026608,0.24634869013346422,-0.16529017229205664,0.37985318605525475
RG4,[MgFe]',Claude-like,325,168,118,0.039674201287130145,0.07536317408515013,-0.03568897279801998,0.11503737537228027,-0.1080376199197641,0.1873860224940244
RG4,[MgFe]',"Claude-like, mass-complete",325,168,118,0.039674201287130145,0.07536317408515013,-0.03568897279801998,0.11503737537228027,-0.1080376199197641,0.1873860224940244
RG4,[MgFe]',+ stellar mass,325,168,118,0.019117949826315945,0.06926814906785174,-0.0501501992415358,0.08838609889416768,-0.11664762234667346,0.15488352199930536
RG4,Mg2,Claude-like,314,163,114,0.005010785408676546,0.005372386022063365,-0.0003616006133868189,0.01038317143073991,-0.005519091194567649,0.01554066201192074
RG4,Mg2,"Claude-like, mass-complete",314,163,114,0.005010785408676546,0.005372386022063365,-0.0003616006133868189,0.01038317143073991,-0.005519091194567649,0.01554066201192074
RG4,Mg2,+ stellar mass,314,163,114,0.0035671121534637243,0.004991859641459734,-0.0014247474879960096,0.008558971794923459,-0.006216932743797354,0.013351157050724802
RG4,Dn4000,Claude-like,327,168,118,0.024497936857481337,0.024411664120066134,8.627273741520364e-05,0.04890960097754747,-0.023348924817848286,0.07234479853281096
RG4,Dn4000,"Claude-like, mass-complete",327,168,118,0.024497936857481337,0.024411664120066134,8.627273741520364e-05,0.04890960097754747,-0.023348924817848286,0.07234479853281096
RG4,Dn4000,+ stellar mass,327,168,118,0.018873917283767454,0.022930368745173842,-0.004056451461406388,0.0418042860289413,-0.026069605456773278,0.06381744002430818
RG4,Hdelta_A,Claude-like,327,168,118,-0.5535833478132939,0.2849261653646896,-0.8385095131779835,-0.26865718244860426,-1.1120386319280855,0.004871936301497737
RG4,Hdelta_A,"Claude-like, mass-complete",327,168,118,-0.5535833478132939,0.2849261653646896,-0.8385095131779835,-0.26865718244860426,-1.1120386319280855,0.004871936301497737
RG4,Hdelta_A,+ stellar mass,327,168,118,-0.4839800192412429,0.27075778884716767,-0.7547378080884106,-0.21322223039407523,-1.0146652853816915,0.04670524689920574
